,Date,Symbol,Open,High,Low,Close,Volume
3417,2015-01-09,SCL,299.98,299.98,299.98,299.98,300
5576,2015-01-15,SCL,290.0,290.0,284.99,284.99,1000
6642,2015-01-19,SCL,270.75,270.75,270.75,270.75,500
8238,2015-01-22,SCL,257.22,257.22,257.22,257.22,100
9270,2015-01-26,SCL,244.36,244.36,244.36,257.22,100
10929,2015-01-29,SCL,0.0,257.0,257.0,257.0,0
12541,2015-02-03,SCL,244.15,244.15,244.15,244.15,400
15081,2015-02-11,SCL,232.5,232.5,232.5,244.15,100
20703,2015-02-26,SCL,0.0,233.0,233.0,244.15,500
21769,2015-03-02,SCL,0.0,233.0,233.0,244.15,200
22271,2015-03-03,SCL,231.95,231.95,231.95,231.95,400
22773,2015-03-04,SCL,220.37,220.37,220.36,220.37,300
26636,2015-03-16,SCL,220.0,220.0,209.36,209.36,700
37618,2015-04-16,SCL,219.82,219.82,219.82,219.82,200
38136,2015-04-17,SCL,230.8,230.8,230.8,230.8,200
38639,2015-04-20,SCL,0.0,230.0,230.0,230.8,500
39160,2015-04-21,SCL,242.34,242.34,242.34,230.8,100
41805,2015-04-28,SCL,242.34,242.34,242.34,230.8,100
42323,2015-04-29,SCL,242.34,242.34,231.17,231.17,100
42820,2015-04-30,SCL,0.0,233.632,233.632,233.632,0
44318,2015-05-06,SCL,245.31,245.31,245.31,233.63,100
44822,2015-05-07,SCL,0.0,245.31,245.31,245.31,0
45793,2015-05-11,SCL,240.0,249.0,233.05,238.88,700
46739,2015-05-13,SCL,245.0,245.0,245.0,238.88,100
47220,2015-05-14,SCL,250.82,250.82,250.82,250.82,200
47701,2015-05-15,SCL,263.0,263.36,263.0,263.25,500
48656,2015-05-20,SCL,0.0,260.0,260.0,260.0,0
56391,2015-06-12,SCL,255.48,255.48,255.0,255.0,200
58523,2015-06-18,SCL,242.25,242.29,242.25,242.27,700
60630,2015-06-24,SCL,246.0,246.0,245.0,245.5,200
61174,2015-06-25,SCL,240.0,240.0,240.0,245.5,100
64753,2015-07-06,SCL,245.0,245.0,245.0,245.0,200
65268,2015-07-07,SCL,250.0,250.0,250.0,250.0,100
71506,2015-07-28,SCL,250.0,250.0,250.0,250.0,500
74181,2015-08-04,SCL,259.0,262.5,259.0,262.5,3500
74699,2015-08-05,SCL,255.0,255.0,255.0,255.0,200
75222,2015-08-06,SCL,267.0,267.0,267.0,267.0,100
76775,2015-08-11,SCL,0.0,274.0,274.0,267.0,300
78318,2015-08-17,SCL,253.65,267.5,253.65,267.5,300
80365,2015-08-21,SCL,280.87,280.87,280.87,280.87,100
80881,2015-08-24,SCL,0.0,277.04,277.04,277.04,0
81959,2015-08-26,SCL,0.0,273.308,273.308,273.308,0
83055,2015-08-28,SCL,286.0,286.0,286.0,286.0,100
85568,2015-09-16,SCL,0.0,281.3,281.3,281.3,0
90367,2015-10-02,SCL,267.24,289.9,267.24,289.9,300
90856,2015-10-05,SCL,275.41,275.41,275.41,275.41,200
91357,2015-10-06,SCL,261.64,261.64,261.64,261.64,200
93855,2015-10-13,SCL,0.0,261.63,261.63,261.63,0
94360,2015-10-14,SCL,248.55,269.99,248.55,269.99,300
100535,2015-11-02,SCL,261.0,278.0,261.0,278.0,800
101024,2015-11-03,SCL,264.1,280.5,264.1,278.83,1300
102047,2015-11-05,SCL,265.0,265.0,265.0,265.0,200
