,Date,Symbol,Open,High,Low,Close,Volume
248,2015-01-01,SIEM,1140.0,1170.31,1102.0,1170.31,1180
771,2015-01-02,SIEM,1178.0,1228.82,1178.0,1228.82,7140
1290,2015-01-05,SIEM,1245.0,1290.26,1200.0,1290.26,7040
1797,2015-01-06,SIEM,1300.0,1330.0,1252.0,1302.73,5900
2317,2015-01-07,SIEM,1320.0,1337.98,1276.0,1287.39,860
2829,2015-01-08,SIEM,1300.0,1351.0,1300.0,1323.27,4420
3342,2015-01-09,SIEM,1350.0,1360.0,1300.0,1300.3,2880
3868,2015-01-12,SIEM,1300.0,1319.0,1280.0,1284.66,340
4406,2015-01-13,SIEM,1261.0,1299.98,1259.99,1277.21,8900
4951,2015-01-14,SIEM,1290.0,1296.0,1273.1,1282.78,800
5498,2015-01-15,SIEM,1262.0,1280.0,1221.55,1249.0,3800
6035,2015-01-16,SIEM,1224.0,1230.0,1223.0,1224.2,820
6571,2015-01-19,SIEM,1235.0,1285.41,1235.0,1257.01,11900
7105,2015-01-20,SIEM,1264.99,1270.0,1235.0,1242.0,1340
7642,2015-01-21,SIEM,1252.98,1299.0,1240.0,1251.44,3840
8164,2015-01-22,SIEM,1254.0,1285.0,1254.0,1256.0,1100
8672,2015-01-23,SIEM,1251.19,1274.0,1250.0,1258.69,840
9195,2015-01-26,SIEM,1250.0,1250.0,1221.0,1224.6,1300
9751,2015-01-27,SIEM,1225.0,1231.0,1225.0,1230.0,240
10309,2015-01-28,SIEM,1240.0,1240.0,1240.0,1230.0,20
10859,2015-01-29,SIEM,1226.5,1230.0,1225.0,1225.0,660
11393,2015-01-30,SIEM,1220.0,1220.0,1185.0,1187.4,880
11953,2015-02-02,SIEM,1181.2,1205.0,1181.2,1200.1,1040
12469,2015-02-03,SIEM,1200.0,1260.0,1190.0,1199.0,3520
12988,2015-02-04,SIEM,1244.99,1244.99,1176.0,1180.78,1340
13492,2015-02-06,SIEM,1198.99,1215.0,1186.0,1193.0,2960
14000,2015-02-09,SIEM,1175.0,1180.0,1175.0,1175.0,600
14499,2015-02-10,SIEM,1165.0,1165.0,1135.0,1141.7,1100
15008,2015-02-11,SIEM,1145.0,1145.0,1140.02,1143.89,220
15523,2015-02-12,SIEM,1140.0,1140.0,1135.0,1137.5,80
16020,2015-02-13,SIEM,1194.37,1194.37,1150.0,1163.33,2160
16517,2015-02-16,SIEM,1135.0,1139.0,1120.0,1134.34,320
17012,2015-02-17,SIEM,1120.0,1120.0,1078.0,1083.0,1300
17513,2015-02-18,SIEM,1115.0,1115.0,1035.0,1036.49,2220
18019,2015-02-19,SIEM,1040.0,1080.0,1040.0,1074.05,1060
18508,2015-02-20,SIEM,1082.0,1107.0,1070.0,1103.88,7080
18998,2015-02-23,SIEM,1099.87,1130.0,1090.0,1119.0,2760
19544,2015-02-24,SIEM,1100.0,1100.0,1095.0,1099.17,360
20079,2015-02-25,SIEM,1130.0,1130.0,1088.0,1088.0,440
21159,2015-02-27,SIEM,1060.11,1079.9,1060.11,1079.45,160
21695,2015-03-02,SIEM,1035.0,1035.0,1028.0,1029.07,200
22200,2015-03-03,SIEM,1020.0,1020.0,1020.0,1029.07,20
22702,2015-03-04,SIEM,1020.0,1035.0,1000.0,1001.85,500
23196,2015-03-05,SIEM,1000.0,1002.0,1000.0,1000.05,1760
24141,2015-03-09,SIEM,960.0,1019.0,960.0,1009.5,100
24627,2015-03-10,SIEM,994.0,994.0,976.0,979.14,160
25111,2015-03-11,SIEM,960.0,980.0,960.0,979.0,160
25597,2015-03-12,SIEM,985.0,987.0,985.0,986.0,60
26079,2015-03-13,SIEM,990.0,996.0,989.0,993.67,420
26563,2015-03-16,SIEM,989.0,989.0,970.1,972.55,340
27034,2015-03-17,SIEM,940.0,970.0,933.0,950.0,1320
27538,2015-03-18,SIEM,985.0,985.0,932.0,957.5,80
28028,2015-03-19,SIEM,960.0,970.0,940.0,945.0,580
28497,2015-03-20,SIEM,970.0,970.0,970.0,945.0,20
28969,2015-03-24,SIEM,945.0,945.0,945.0,945.0,20
