,Date,Symbol,Open,High,Low,Close,Volume
56,2015-01-01,SILK,2.23,2.28,2.22,2.23,320000
551,2015-01-02,SILK,2.22,2.28,2.18,2.24,639000
1083,2015-01-05,SILK,2.24,2.3,2.21,2.21,662000
1595,2015-01-06,SILK,2.24,2.25,2.21,2.21,784500
2106,2015-01-07,SILK,2.29,2.35,2.2,2.21,880000
2618,2015-01-08,SILK,2.19,2.33,2.15,2.33,2457000
3136,2015-01-09,SILK,2.3,2.4,2.2,2.29,2003000
3650,2015-01-12,SILK,2.29,2.3,2.2,2.21,1129000
4179,2015-01-13,SILK,2.25,2.27,2.21,2.22,866500
4723,2015-01-14,SILK,2.21,2.29,2.2,2.21,1238500
5266,2015-01-15,SILK,2.24,2.24,2.18,2.19,605500
5817,2015-01-16,SILK,2.21,2.3,2.2,2.24,1616000
6347,2015-01-19,SILK,2.25,2.27,2.18,2.2,1033000
6883,2015-01-20,SILK,2.18,2.2,2.14,2.16,1758000
7415,2015-01-21,SILK,2.15,2.22,2.15,2.16,755500
7949,2015-01-22,SILK,2.16,2.21,2.15,2.2,376500
8469,2015-01-23,SILK,2.17,2.21,2.16,2.16,333000
8979,2015-01-26,SILK,2.19,2.22,2.09,2.12,674500
9540,2015-01-27,SILK,2.13,2.18,2.1,2.1,1048000
10096,2015-01-28,SILK,2.11,2.15,2.0,2.04,4950000
10645,2015-01-29,SILK,2.08,2.12,2.05,2.09,849000
11190,2015-01-30,SILK,2.06,2.11,2.0,2.02,657500
11736,2015-02-02,SILK,2.01,2.05,2.01,2.03,428000
12251,2015-02-03,SILK,2.03,2.05,1.98,2.04,1031000
12770,2015-02-04,SILK,2.04,2.07,2.01,2.06,494000
13291,2015-02-06,SILK,2.13,2.13,2.01,2.05,242000
13792,2015-02-09,SILK,2.03,2.09,2.01,2.03,200500
14294,2015-02-10,SILK,2.06,2.07,2.02,2.02,334000
14801,2015-02-11,SILK,2.05,2.05,2.0,2.01,904500
15311,2015-02-12,SILK,2.0,2.05,1.96,1.98,906000
15817,2015-02-13,SILK,1.96,2.04,1.96,2.01,364000
16321,2015-02-16,SILK,2.02,2.05,2.01,2.03,433000
16811,2015-02-17,SILK,2.03,2.03,1.99,2.0,776500
17312,2015-02-18,SILK,1.99,2.04,1.96,1.99,534500
17810,2015-02-19,SILK,2.0,2.0,1.95,1.96,337500
18313,2015-02-20,SILK,1.97,2.0,1.96,1.99,1303500
18806,2015-02-23,SILK,1.98,2.01,1.98,2.0,173500
