,Date,Symbol,Open,High,Low,Close,Volume
8582,2015-01-23,SASML,11.65,11.66,11.65,11.66,12000
10215,2015-01-28,SASML,11.0,11.0,10.66,10.66,1000
10764,2015-01-29,SASML,10.9,10.9,10.9,10.9,1500
11860,2015-02-02,SASML,10.74,10.75,10.74,10.75,3000
13401,2015-02-06,SASML,9.75,9.75,9.75,9.75,500
13908,2015-02-09,SASML,10.3,10.75,10.3,10.75,3000
17928,2015-02-19,SASML,11.4,11.4,11.4,11.4,500
20543,2015-02-26,SASML,10.4,10.4,10.4,10.4,1500
50973,2015-05-28,SASML,11.0,11.4,11.0,11.4,9000
51501,2015-05-29,SASML,11.5,11.5,11.5,11.5,500
52052,2015-06-01,SASML,12.5,12.5,12.5,12.5,4000
58362,2015-06-18,SASML,13.45,13.5,13.45,13.5,5000
58867,2015-06-19,SASML,14.5,14.5,14.5,14.5,4000
59361,2015-06-22,SASML,15.5,15.5,15.5,15.5,1000
59900,2015-06-23,SASML,14.5,14.5,14.5,14.5,7000
62084,2015-06-29,SASML,14.0,14.0,14.0,14.0,500
62577,2015-06-30,SASML,15.0,15.0,15.0,15.0,21500
63077,2015-07-01,SASML,16.0,16.0,16.0,16.0,15000
63586,2015-07-02,SASML,17.0,17.0,17.0,17.0,14500
64084,2015-07-03,SASML,17.9,18.0,17.89,17.98,13500
64592,2015-07-06,SASML,18.97,18.98,18.97,18.98,20500
65103,2015-07-07,SASML,19.5,19.98,19.5,19.98,9000
65614,2015-07-08,SASML,20.98,20.98,20.98,20.98,2500
66126,2015-07-09,SASML,22.0,22.02,22.0,22.01,9000
66621,2015-07-10,SASML,23.11,23.11,23.11,23.11,7000
67113,2015-07-13,SASML,22.0,23.0,22.0,22.0,5500
67623,2015-07-14,SASML,22.5,23.1,22.5,23.0,11000
68143,2015-07-15,SASML,22.5,23.0,22.5,23.0,4000
69199,2015-07-22,SASML,24.14,24.15,24.0,24.15,4000
69734,2015-07-23,SASML,25.35,25.35,25.35,25.35,2000
70265,2015-07-24,SASML,26.61,26.61,25.0,26.5,9000
70793,2015-07-27,SASML,26.5,26.5,25.18,25.18,2000
71344,2015-07-28,SASML,25.18,25.25,25.18,25.25,2500
71910,2015-07-29,SASML,24.1,24.1,24.0,24.05,3500
72460,2015-07-30,SASML,25.0,25.0,24.5,24.5,2500
73005,2015-07-31,SASML,23.7,23.7,23.28,23.3,4500
73532,2015-08-03,SASML,22.5,22.5,22.25,22.25,4000
74020,2015-08-04,SASML,21.25,21.25,21.25,21.25,3000
74536,2015-08-05,SASML,20.25,20.25,20.25,20.25,1000
75056,2015-08-06,SASML,20.0,20.05,19.24,19.25,15000
75580,2015-08-07,SASML,18.25,18.25,18.25,18.25,5500
76610,2015-08-11,SASML,19.0,19.25,19.0,19.25,3000
77126,2015-08-12,SASML,20.0,20.25,20.0,20.25,11500
77650,2015-08-13,SASML,20.25,20.25,20.25,20.25,1500
78158,2015-08-17,SASML,21.19,21.25,21.19,21.25,4500
79704,2015-08-20,SASML,20.5,20.5,20.5,20.5,500
80718,2015-08-24,SASML,20.5,20.5,20.5,20.5,3500
81254,2015-08-25,SASML,20.39,20.39,20.39,20.39,4000
82892,2015-08-28,SASML,19.4,19.4,19.4,19.4,3000
84936,2015-09-15,SASML,18.25,18.25,17.75,17.75,2500
86376,2015-09-18,SASML,17.5,17.5,17.5,17.5,1500
92171,2015-10-08,SASML,0.0,17.75,17.75,17.75,0
94700,2015-10-15,SASML,18.0,18.0,18.0,18.0,500
95698,2015-10-19,SASML,18.0,18.0,17.5,17.5,3000
96200,2015-10-20,SASML,17.0,17.0,17.0,17.0,500
98752,2015-10-28,SASML,17.25,17.5,17.25,17.5,1500
100376,2015-11-02,SASML,18.5,18.5,18.5,18.5,500
101885,2015-11-05,SASML,19.5,19.5,19.5,19.5,500
102387,2015-11-06,SASML,20.5,20.5,20.5,20.5,500
104363,2015-11-12,SASML,21.5,21.5,21.5,21.5,1000
105865,2015-11-17,SASML,22.5,22.5,22.5,22.5,500
106388,2015-11-18,SASML,23.6,23.6,23.6,23.6,1500
106891,2015-11-19,SASML,24.75,24.78,24.75,24.78,1000
111069,2015-12-01,SASML,25.5,25.5,25.5,25.5,500
112524,2015-12-04,SASML,0.0,25.25,25.25,25.25,0
114002,2015-12-09,SASML,0.0,25.15,25.15,25.15,0
114487,2015-12-10,SASML,25.0,25.5,25.0,25.5,1500
114956,2015-12-14,SASML,27.5,27.5,27.5,27.5,1000
116847,2015-12-18,SASML,26.25,26.25,26.25,26.25,500
117321,2015-12-22,SASML,0.0,24.7273,24.7273,24.7273,0
118345,2015-12-28,SASML,0.0,24.7,24.7,24.7,0
118816,2015-12-29,SASML,0.0,24.6481,24.6481,24.6481,0
119290,2015-12-30,SASML,0.0,24.601999999999997,24.601999999999997,24.601999999999997,0
120687,2016-01-05,SASML,0.0,23.6,23.6,23.6,0
121138,2016-01-06,SASML,0.0,23.5725,23.5725,23.5725,0
121609,2016-01-07,SASML,23.5,23.5,23.5,23.5,500
122073,2016-01-11,SASML,0.0,23.25,23.25,23.25,0
122990,2016-01-13,SASML,22.25,22.25,22.09,22.09,1500
124433,2016-01-18,SASML,22.0,22.0,22.0,22.0,500
127718,2016-01-27,SASML,23.0,23.0,23.0,23.0,500
128220,2016-01-28,SASML,23.98,23.98,23.98,23.98,500
129670,2016-02-02,SASML,0.0,23.948,23.948,23.948,0
130597,2016-02-04,SASML,0.0,23.85,23.85,23.85,0
131985,2016-02-10,SASML,0.0,23.69,23.69,23.69,0
132907,2016-02-12,SASML,22.51,22.51,22.51,22.51,500
136145,2016-02-23,SASML,0.0,22.23,22.23,22.23,0
136637,2016-02-24,SASML,0.0,21.94,21.94,21.94,0
137635,2016-02-29,SASML,0.0,21.92,21.92,21.92,0
138099,2016-03-01,SASML,0.0,21.45,21.45,21.45,0
139051,2016-03-03,SASML,0.0,21.25,21.25,21.25,0
142886,2016-03-15,SASML,0.0,20.8625,20.8625,20.8625,0
143826,2016-03-17,SASML,0.0,20.7967,20.7967,20.7967,0
144308,2016-03-18,SASML,0.0,20.0033,20.0033,20.0033,0
148316,2016-04-12,SASML,0.0,19.0,19.0,19.0,0
150276,2016-04-19,SASML,0.0,18.25,18.25,18.25,0
152327,2016-04-25,SASML,0.0,18.0,18.0,18.0,0
160785,2016-05-20,SASML,17.05,17.05,17.0,17.0,1500
161296,2016-05-23,SASML,0.0,16.5294,16.5294,16.5294,0
162436,2016-05-25,SASML,17.0,17.0,17.0,17.0,1500
169057,2016-06-16,SASML,0.0,16.6667,16.6667,16.6667,0
169547,2016-06-17,SASML,0.0,15.67,15.67,15.67,0
170025,2016-06-20,SASML,0.0,14.67,14.67,14.67,0
170539,2016-06-21,SASML,0.0,13.67,13.67,13.67,0
171064,2016-06-22,SASML,0.0,13.5,13.5,13.5,0
175505,2016-07-12,SASML,13.5,14.5,12.5,14.25,9000
176011,2016-07-13,SASML,14.5,14.5,14.5,14.5,500
177023,2016-07-15,SASML,14.25,15.5,14.25,14.5,5000
177520,2016-07-18,SASML,15.5,15.5,15.5,15.5,500
178542,2016-07-20,SASML,16.5,16.5,15.5,15.5,3000
179040,2016-07-21,SASML,16.5,16.5,16.5,16.5,6500
179541,2016-07-22,SASML,17.5,17.5,17.5,17.5,4000
180028,2016-07-25,SASML,18.0,18.5,18.0,18.5,5000
180564,2016-07-26,SASML,19.5,19.5,19.5,19.5,3000
181115,2016-07-27,SASML,20.5,20.5,20.5,20.5,3000
181676,2016-07-28,SASML,21.52,21.52,21.52,21.52,500
182202,2016-07-29,SASML,22.48,22.59,22.48,22.59,9000
182738,2016-08-01,SASML,23.71,23.71,21.71,23.12,31000
183243,2016-08-02,SASML,23.0,23.01,21.97,21.97,8000
