,Date,Symbol,Open,High,Low,Close,Volume
292,2015-01-01,SPL,13.85,13.95,13.55,13.9,207500
820,2015-01-02,SPL,14.0,14.12,13.71,13.94,233000
1338,2015-01-05,SPL,13.9,14.24,13.88,14.14,551500
1843,2015-01-06,SPL,14.01,14.17,13.67,14.0,286000
2365,2015-01-07,SPL,14.01,14.02,13.86,13.9,230000
2878,2015-01-08,SPL,14.05,14.22,14.0,14.2,285000
3390,2015-01-09,SPL,13.9,14.7,13.9,14.35,917000
3916,2015-01-12,SPL,14.5,14.61,14.35,14.36,303500
4454,2015-01-13,SPL,14.22,15.36,14.21,15.36,2213000
4999,2015-01-14,SPL,15.9,16.36,15.7,16.06,5344000
5548,2015-01-15,SPL,16.1,16.2,15.5,15.6,1911500
6083,2015-01-16,SPL,15.51,15.75,15.01,15.38,730000
6617,2015-01-19,SPL,15.0,15.8,14.96,15.39,437000
7154,2015-01-20,SPL,15.77,15.77,15.06,15.12,356500
7692,2015-01-21,SPL,15.06,15.48,14.61,14.68,956000
8212,2015-01-22,SPL,14.61,15.15,14.5,14.61,498500
8721,2015-01-23,SPL,14.74,14.85,14.5,14.58,191500
9245,2015-01-26,SPL,14.89,14.89,14.35,14.45,183500
9800,2015-01-27,SPL,14.5,14.5,14.2,14.27,177000
10357,2015-01-28,SPL,14.4,14.51,14.3,14.4,166500
10904,2015-01-29,SPL,14.4,14.5,14.22,14.29,123000
11442,2015-01-30,SPL,14.3,14.45,14.0,14.1,195500
12002,2015-02-02,SPL,14.11,14.3,13.9,14.0,221000
12517,2015-02-03,SPL,14.17,14.17,13.95,14.08,135000
13037,2015-02-04,SPL,14.05,14.35,14.05,14.13,63500
13537,2015-02-06,SPL,14.32,15.06,14.11,14.86,787500
14047,2015-02-09,SPL,15.0,15.3,14.65,14.81,647000
14547,2015-02-10,SPL,15.0,15.0,14.3,14.41,102000
15057,2015-02-11,SPL,14.48,14.64,14.35,14.39,79500
15571,2015-02-12,SPL,14.3,14.3,13.75,14.03,299500
16068,2015-02-13,SPL,14.25,14.25,13.9,13.94,88500
16563,2015-02-16,SPL,13.9,14.23,13.8,13.88,184500
17062,2015-02-17,SPL,13.97,14.15,13.9,14.08,108000
17558,2015-02-18,SPL,13.81,14.17,13.71,13.9,159000
18065,2015-02-19,SPL,14.0,14.15,13.75,14.05,63000
18554,2015-02-20,SPL,14.18,14.18,13.76,13.77,101000
19044,2015-02-23,SPL,13.72,14.0,13.65,13.71,257500
19592,2015-02-24,SPL,13.62,13.9,13.45,13.51,179000
20127,2015-02-25,SPL,13.5,13.64,13.38,13.51,54000
20679,2015-02-26,SPL,13.5,13.61,13.1,13.14,74000
21209,2015-02-27,SPL,13.2,13.35,12.9,13.02,58000
21746,2015-03-02,SPL,13.02,13.02,12.7,12.71,79000
22248,2015-03-03,SPL,12.56,12.8,12.32,12.41,92500
22751,2015-03-04,SPL,12.36,12.81,12.36,12.79,40500
23244,2015-03-05,SPL,12.62,13.0,12.6,12.82,94000
23715,2015-03-06,SPL,12.7,12.99,12.65,12.68,31500
24186,2015-03-09,SPL,12.65,12.67,12.55,12.59,50000
24673,2015-03-10,SPL,12.53,12.8,12.33,12.42,31500
25156,2015-03-11,SPL,12.07,12.53,12.07,12.38,72000
25649,2015-03-12,SPL,12.5,12.58,12.36,12.44,14500
26128,2015-03-13,SPL,12.6,12.75,12.45,12.7,50500
26612,2015-03-16,SPL,12.3,12.7,12.1,12.14,59500
27083,2015-03-17,SPL,12.13,12.2,12.02,12.16,31500
27588,2015-03-18,SPL,12.07,12.19,11.3,11.45,186500
28073,2015-03-19,SPL,11.5,11.89,11.2,11.28,191500
28543,2015-03-20,SPL,11.35,11.77,11.35,11.73,37500
29015,2015-03-24,SPL,11.99,12.08,11.65,11.65,36500
29516,2015-03-25,SPL,11.79,11.88,11.51,11.54,5000
30035,2015-03-26,SPL,11.59,11.59,11.0,11.47,284500
30565,2015-03-27,SPL,11.2,11.67,11.15,11.24,38000
31121,2015-03-30,SPL,11.25,11.25,10.24,10.24,264000
31629,2015-03-31,SPL,10.35,11.23,10.35,11.09,232500
32132,2015-04-01,SPL,11.39,11.45,10.8,11.01,86500
32639,2015-04-02,SPL,11.45,12.0,11.26,11.56,114000
33146,2015-04-03,SPL,11.5,11.7,11.45,11.68,32000
33649,2015-04-06,SPL,11.65,12.09,11.64,11.95,87500
34149,2015-04-07,SPL,12.0,12.0,11.51,11.57,46500
34635,2015-04-08,SPL,11.55,11.68,11.51,11.64,38500
35127,2015-04-09,SPL,11.89,12.15,11.77,12.06,291500
35633,2015-04-10,SPL,12.0,12.3,12.0,12.2,90000
36141,2015-04-13,SPL,12.0,12.05,11.8,11.9,31500
