,Date,Symbol,Open,High,Low,Close,Volume
57,2015-01-01,SNBL,12.35,12.48,12.3,12.41,172000
552,2015-01-02,SNBL,12.35,12.95,12.35,12.63,927500
1084,2015-01-05,SNBL,12.6,13.1,12.5,12.97,1467500
1596,2015-01-06,SNBL,12.8,13.5,12.55,13.28,1062000
2107,2015-01-07,SNBL,13.26,13.49,13.2,13.28,453500
2619,2015-01-08,SNBL,13.22,13.4,13.22,13.35,417000
3137,2015-01-09,SNBL,13.3,13.48,13.14,13.2,323000
3651,2015-01-12,SNBL,13.25,13.5,13.19,13.21,622500
4180,2015-01-13,SNBL,13.21,13.39,13.0,13.08,962500
4724,2015-01-14,SNBL,13.1,13.1,12.9,12.99,495000
5267,2015-01-15,SNBL,13.1,13.1,12.55,12.91,647000
5818,2015-01-16,SNBL,12.8,13.0,12.8,12.87,541000
6348,2015-01-19,SNBL,12.99,13.0,12.8,12.83,525500
6884,2015-01-20,SNBL,12.85,13.2,12.82,13.08,438000
7416,2015-01-21,SNBL,13.05,13.28,12.9,12.99,859000
7950,2015-01-22,SNBL,13.0,13.0,12.51,12.99,179000
8470,2015-01-23,SNBL,13.0,13.0,12.8,12.9,69500
8980,2015-01-26,SNBL,12.89,13.19,12.83,12.89,230000
9541,2015-01-27,SNBL,12.99,13.0,12.85,12.85,155500
10097,2015-01-28,SNBL,12.85,12.9,12.72,12.75,1158500
10646,2015-01-29,SNBL,12.87,12.87,12.56,12.65,795000
11191,2015-01-30,SNBL,12.95,12.96,12.59,12.71,307500
11737,2015-02-02,SNBL,12.75,12.9,12.66,12.77,338000
12252,2015-02-03,SNBL,12.62,13.5,12.6,13.24,680500
12771,2015-02-04,SNBL,13.49,13.49,12.9,12.94,635500
13292,2015-02-06,SNBL,12.9,13.25,12.9,12.95,194000
13793,2015-02-09,SNBL,13.05,13.05,12.81,12.87,134500
14295,2015-02-10,SNBL,13.09,13.09,12.75,12.75,102000
14802,2015-02-11,SNBL,12.85,12.9,12.5,12.64,350500
15312,2015-02-12,SNBL,12.56,12.87,12.55,12.79,189000
15818,2015-02-13,SNBL,12.79,12.9,12.65,12.87,110000
16322,2015-02-16,SNBL,12.9,13.27,12.85,13.14,1061000
16812,2015-02-17,SNBL,13.16,13.4,13.01,13.1,860000
17313,2015-02-18,SNBL,13.03,13.25,13.0,13.1,525000
17811,2015-02-19,SNBL,13.1,13.2,13.1,13.12,130000
18314,2015-02-20,SNBL,13.24,14.12,13.11,13.77,1098500
18807,2015-02-23,SNBL,13.9,14.05,13.6,13.68,356000
19336,2015-02-24,SNBL,13.78,13.95,13.5,13.51,231000
19876,2015-02-25,SNBL,13.41,13.55,13.4,13.41,103500
20421,2015-02-26,SNBL,13.37,13.48,13.32,13.4,110000
20963,2015-02-27,SNBL,13.35,14.3,13.33,13.97,2439000
21495,2015-03-02,SNBL,13.61,14.19,13.25,13.54,882000
21999,2015-03-03,SNBL,13.7,13.7,13.42,13.6,129000
22499,2015-03-04,SNBL,13.6,14.0,13.3,13.78,358000
23003,2015-03-05,SNBL,13.61,13.83,13.61,13.67,23500
23487,2015-03-06,SNBL,13.71,13.84,13.55,13.61,66000
23958,2015-03-09,SNBL,13.53,13.7,13.01,13.23,337000
24438,2015-03-10,SNBL,13.15,13.4,13.0,13.05,403000
24927,2015-03-11,SNBL,13.0,13.2,13.0,13.01,124000
25410,2015-03-12,SNBL,12.82,13.16,12.66,12.7,419500
25899,2015-03-13,SNBL,12.99,13.19,12.62,12.75,642000
26381,2015-03-16,SNBL,12.61,13.0,12.52,12.71,137500
26861,2015-03-17,SNBL,12.81,12.85,12.53,12.61,220500
27342,2015-03-18,SNBL,12.6,13.4,12.01,12.89,1051000
27841,2015-03-19,SNBL,11.3,11.72,11.3,11.45,97000
28320,2015-03-20,SNBL,11.22,11.85,11.22,11.76,212000
28788,2015-03-24,SNBL,11.5,11.6,11.5,11.5,75500
29297,2015-03-25,SNBL,11.25,11.79,11.25,11.79,1000
29804,2015-03-26,SNBL,11.51,11.77,11.01,11.52,187500
30332,2015-03-27,SNBL,11.5,11.54,11.0,11.05,108000
30863,2015-03-30,SNBL,10.22,10.6,10.06,10.39,818000
31384,2015-03-31,SNBL,10.2,11.39,10.2,11.25,5034500
31890,2015-04-01,SNBL,11.2,11.95,11.2,11.53,190500
32392,2015-04-02,SNBL,11.7,11.95,11.51,11.74,127000
32897,2015-04-03,SNBL,11.7,12.4,11.55,12.28,164000
33396,2015-04-06,SNBL,12.3,12.37,12.0,12.05,44000
33906,2015-04-07,SNBL,12.01,12.01,11.6,11.62,83500
34400,2015-04-08,SNBL,11.52,11.96,11.5,11.51,52500
34893,2015-04-09,SNBL,11.5,11.7,11.4,11.65,63500
35382,2015-04-10,SNBL,11.79,12.05,11.52,11.99,164000
35895,2015-04-13,SNBL,11.71,11.99,11.61,11.95,129500
36388,2015-04-14,SNBL,11.61,11.9,11.61,11.7,128500
36862,2015-04-15,SNBL,11.55,11.92,11.55,11.75,103000
37342,2015-04-16,SNBL,11.84,12.25,11.75,12.17,254500
37854,2015-04-17,SNBL,12.2,12.65,11.9,12.51,597000
38369,2015-04-20,SNBL,12.5,13.51,12.5,13.4,1872500
38903,2015-04-21,SNBL,13.55,13.69,13.0,13.12,255500
39424,2015-04-22,SNBL,13.38,13.58,13.02,13.47,491000
39962,2015-04-23,SNBL,13.55,13.6,13.02,13.12,389500
40489,2015-04-24,SNBL,13.24,13.7,12.8,13.53,385500
41020,2015-04-27,SNBL,13.31,13.36,13.1,13.2,61000
41521,2015-04-28,SNBL,13.41,13.41,13.02,13.12,7000
42042,2015-04-29,SNBL,13.02,13.29,12.91,13.01,125000
42557,2015-04-30,SNBL,12.61,12.95,12.61,12.78,13000
43052,2015-05-04,SNBL,12.83,12.85,12.62,12.7,44000
43555,2015-05-05,SNBL,12.53,12.55,12.33,12.53,66500
44052,2015-05-06,SNBL,12.77,12.77,12.45,12.64,67500
44559,2015-05-07,SNBL,12.4,12.6,12.4,12.5,85000
45056,2015-05-08,SNBL,12.33,12.54,12.33,12.48,5000
45536,2015-05-11,SNBL,12.65,12.65,12.13,12.14,64500
