,Date,Symbol,Open,High,Low,Close,Volume
58,2015-01-01,SCBPL,23.5,23.8,23.5,23.8,118500
553,2015-01-02,SCBPL,23.5,23.8,23.5,23.8,8000
1085,2015-01-05,SCBPL,23.8,23.99,23.6,23.92,26000
1597,2015-01-06,SCBPL,23.65,23.88,23.6,23.65,71500
2108,2015-01-07,SCBPL,23.5,24.0,23.5,24.0,27000
2620,2015-01-08,SCBPL,23.51,23.79,23.5,23.79,18000
3138,2015-01-09,SCBPL,24.0,24.0,23.11,23.27,131500
3652,2015-01-12,SCBPL,23.5,23.5,23.45,23.5,20000
4181,2015-01-13,SCBPL,23.12,23.7,23.12,23.68,26000
4725,2015-01-14,SCBPL,23.2,23.87,23.2,23.5,4000
5268,2015-01-15,SCBPL,23.45,23.79,23.45,23.5,38500
5819,2015-01-16,SCBPL,23.4,23.5,23.4,23.5,3000
6349,2015-01-19,SCBPL,23.94,24.24,23.71,23.71,18000
6885,2015-01-20,SCBPL,24.0,24.28,23.99,24.0,79500
7417,2015-01-21,SCBPL,24.1,24.44,24.0,24.25,89000
7951,2015-01-22,SCBPL,24.49,25.45,24.25,24.25,55500
8471,2015-01-23,SCBPL,24.0,24.05,23.61,24.01,13500
8981,2015-01-26,SCBPL,23.61,24.0,23.61,24.0,24000
9542,2015-01-27,SCBPL,23.76,24.05,23.6,24.05,11000
10098,2015-01-28,SCBPL,24.25,24.5,24.0,24.3,25000
10647,2015-01-29,SCBPL,24.0,24.65,24.0,24.48,42000
11192,2015-01-30,SCBPL,24.5,24.6,24.25,24.47,15000
11738,2015-02-02,SCBPL,24.25,24.99,24.25,24.79,34000
12253,2015-02-03,SCBPL,24.25,24.94,24.25,24.88,21500
12772,2015-02-04,SCBPL,24.75,26.12,24.75,26.12,243500
13293,2015-02-06,SCBPL,26.94,27.19,26.0,26.0,55500
13794,2015-02-09,SCBPL,26.95,26.99,25.8,26.0,33000
14296,2015-02-10,SCBPL,26.95,27.3,26.1,27.01,256000
14803,2015-02-11,SCBPL,27.5,28.3,27.06,27.5,88500
15313,2015-02-12,SCBPL,27.4,28.0,26.31,27.23,37000
15819,2015-02-13,SCBPL,27.7,27.7,27.0,27.57,7000
16323,2015-02-16,SCBPL,26.75,26.75,26.75,26.75,4000
16813,2015-02-17,SCBPL,25.62,26.25,25.52,25.52,48500
17314,2015-02-18,SCBPL,25.0,25.5,25.0,25.5,25500
17812,2015-02-19,SCBPL,25.45,25.9,25.45,25.85,70500
18315,2015-02-20,SCBPL,25.6,25.6,25.0,25.5,36000
18808,2015-02-23,SCBPL,25.9,25.9,25.5,25.9,4500
19337,2015-02-24,SCBPL,25.01,25.6,24.77,24.93,17500
