,Date,Symbol,Open,High,Low,Close,Volume
210,2015-01-01,SNGP,28.71,28.71,27.8,28.24,1240500
728,2015-01-02,SNGP,28.5,28.75,27.75,27.98,1475000
1248,2015-01-05,SNGP,27.8,28.49,27.76,28.25,1418000
1757,2015-01-06,SNGP,28.01,28.45,28.0,28.07,1167000
2275,2015-01-07,SNGP,27.85,28.3,27.81,27.86,755000
2788,2015-01-08,SNGP,27.85,28.7,27.85,28.5,2264500
3300,2015-01-09,SNGP,28.7,29.52,28.25,28.69,5836000
3825,2015-01-12,SNGP,28.65,29.45,28.65,28.96,2073500
4364,2015-01-13,SNGP,29.0,29.2,28.55,29.04,1995500
4910,2015-01-14,SNGP,29.22,29.6,29.1,29.4,4953500
5455,2015-01-15,SNGP,29.6,29.75,28.8,28.94,2747000
5995,2015-01-16,SNGP,28.85,29.25,28.67,28.74,807500
6528,2015-01-19,SNGP,28.55,28.95,28.21,28.43,697500
7064,2015-01-20,SNGP,28.45,28.46,27.84,28.18,906000
7600,2015-01-21,SNGP,28.2,28.3,27.6,27.78,1445000
8122,2015-01-22,SNGP,27.69,27.95,27.41,27.55,977500
8632,2015-01-23,SNGP,27.55,28.35,27.12,28.04,2694000
9153,2015-01-26,SNGP,28.5,28.64,27.81,28.18,2365000
9709,2015-01-27,SNGP,28.05,28.44,28.0,28.05,1134500
10268,2015-01-28,SNGP,28.0,28.27,27.9,27.99,1063000
10817,2015-01-29,SNGP,27.9,28.25,27.9,27.99,1637500
11352,2015-01-30,SNGP,27.98,28.8,27.98,28.24,5061500
11913,2015-02-02,SNGP,28.57,28.78,28.0,28.06,3665000
12428,2015-02-03,SNGP,28.35,28.38,27.7,27.79,1365000
12948,2015-02-04,SNGP,27.9,27.99,27.17,27.22,1314500
13452,2015-02-06,SNGP,27.22,27.75,26.44,26.54,2617000
13960,2015-02-09,SNGP,26.85,26.85,25.86,25.98,2055500
14461,2015-02-10,SNGP,26.23,27.2,26.1,26.97,3498000
14969,2015-02-11,SNGP,27.0,27.24,26.4,26.54,762000
15483,2015-02-12,SNGP,26.56,26.6,25.22,26.1,1358000
15981,2015-02-13,SNGP,25.52,26.45,25.52,26.04,1422000
16476,2015-02-16,SNGP,26.24,26.25,25.66,25.72,296000
16973,2015-02-17,SNGP,25.55,25.89,25.31,25.71,556000
17475,2015-02-18,SNGP,25.55,26.22,25.55,26.09,1004500
17979,2015-02-19,SNGP,26.2,26.59,25.9,26.37,831000
18470,2015-02-20,SNGP,26.58,26.6,26.01,26.07,291500
18959,2015-02-23,SNGP,26.3,26.3,25.5,25.57,824500
19506,2015-02-24,SNGP,25.54,25.75,24.6,24.71,718000
20039,2015-02-25,SNGP,24.9,25.0,24.0,24.24,1255000
20594,2015-02-26,SNGP,24.48,24.59,24.15,24.38,564500
21120,2015-02-27,SNGP,24.5,25.35,24.5,24.83,1506000
21656,2015-03-02,SNGP,24.8,24.94,24.3,24.48,621500
22162,2015-03-03,SNGP,24.31,24.6,23.8,24.38,543000
22663,2015-03-04,SNGP,24.49,24.9,24.4,24.5,624000
23160,2015-03-05,SNGP,24.84,25.6,24.7,25.45,2759000
23627,2015-03-06,SNGP,25.65,25.69,24.99,25.4,280000
24103,2015-03-09,SNGP,25.69,26.1,25.51,25.55,1065000
24588,2015-03-10,SNGP,26.25,26.49,25.0,25.11,2883500
25073,2015-03-11,SNGP,25.15,25.3,24.6,24.98,936000
25558,2015-03-12,SNGP,25.01,25.34,24.75,24.84,444000
26039,2015-03-13,SNGP,25.45,25.45,24.65,25.08,501000
26525,2015-03-16,SNGP,25.4,26.2,25.38,25.48,1473500
26995,2015-03-17,SNGP,25.45,25.49,24.51,24.9,745000
27501,2015-03-18,SNGP,25.0,25.0,23.66,23.83,2015000
27992,2015-03-19,SNGP,23.99,24.2,23.9,24.01,427500
28462,2015-03-20,SNGP,24.05,24.55,24.05,24.48,445000
28931,2015-03-24,SNGP,24.69,24.75,24.0,24.1,610500
29436,2015-03-25,SNGP,24.0,24.28,24.0,24.06,911000
29948,2015-03-26,SNGP,24.3,24.4,22.88,23.09,1672500
30479,2015-03-27,SNGP,23.45,23.7,22.75,23.14,2032500
31032,2015-03-30,SNGP,23.4,23.4,21.99,22.01,2092000
31540,2015-03-31,SNGP,22.28,23.11,22.25,23.11,1025500
32044,2015-04-01,SNGP,23.01,23.25,22.6,22.66,1151500
32552,2015-04-02,SNGP,22.84,23.2,22.58,22.99,604500
33056,2015-04-03,SNGP,23.08,23.5,22.95,23.29,1739000
33559,2015-04-06,SNGP,23.49,24.45,23.06,24.39,2945000
34063,2015-04-07,SNGP,24.5,25.4,23.76,24.12,4437000
34548,2015-04-08,SNGP,23.98,24.39,23.61,23.73,1472000
35038,2015-04-09,SNGP,23.99,24.49,23.9,24.09,1272000
35545,2015-04-10,SNGP,24.19,24.75,24.19,24.31,1108500
36057,2015-04-13,SNGP,24.16,24.23,23.7,23.86,647000
36528,2015-04-14,SNGP,23.85,24.1,23.45,23.62,528500
37009,2015-04-15,SNGP,23.93,23.93,23.3,23.33,189500
