,Date,Symbol,Open,High,Low,Close,Volume
209,2015-01-01,SSGC,38.42,38.42,36.85,38.04,4341500
727,2015-01-02,SSGC,38.0,38.85,37.94,38.18,1756500
1247,2015-01-05,SSGC,38.5,38.5,37.8,38.01,1619000
1756,2015-01-06,SSGC,37.8,38.4,37.25,37.48,1260500
2274,2015-01-07,SSGC,37.65,37.8,36.71,36.87,1800000
2787,2015-01-08,SSGC,36.79,38.71,36.6,38.55,4389500
3299,2015-01-09,SSGC,38.94,40.46,38.5,39.48,8935000
3824,2015-01-12,SSGC,39.7,40.1,39.02,39.27,1082500
4363,2015-01-13,SSGC,39.05,40.69,38.51,40.13,2736500
4909,2015-01-14,SSGC,40.51,41.84,40.35,41.55,8306500
5454,2015-01-15,SSGC,41.69,41.9,40.45,40.67,2419000
5994,2015-01-16,SSGC,40.5,41.68,40.12,40.51,4265000
6527,2015-01-19,SSGC,40.1,40.99,39.86,39.97,1255000
7063,2015-01-20,SSGC,39.6,40.3,39.4,40.16,1392500
7599,2015-01-21,SSGC,40.01,40.2,38.9,39.09,1161000
8121,2015-01-22,SSGC,39.0,39.98,38.55,38.74,1827500
8631,2015-01-23,SSGC,38.99,40.67,38.0,40.28,6769500
9152,2015-01-26,SSGC,42.0,42.08,40.75,41.52,8239000
9708,2015-01-27,SSGC,41.65,41.81,40.75,40.83,2058000
10267,2015-01-28,SSGC,40.15,40.99,40.15,40.21,794500
10816,2015-01-29,SSGC,40.3,40.79,40.05,40.4,762500
11351,2015-01-30,SSGC,40.49,41.85,40.28,41.24,5844000
11912,2015-02-02,SSGC,41.24,41.73,40.9,41.55,4295500
12427,2015-02-03,SSGC,41.6,41.69,40.66,40.8,1199500
12947,2015-02-04,SSGC,40.99,41.1,40.0,40.15,1052000
13451,2015-02-06,SSGC,40.15,40.75,38.3,38.85,4990000
13959,2015-02-09,SSGC,38.61,39.4,37.62,37.88,4001500
14460,2015-02-10,SSGC,38.6,38.68,37.95,38.2,4511500
14968,2015-02-11,SSGC,38.27,38.49,37.25,37.59,1196500
15482,2015-02-12,SSGC,37.6,37.7,35.72,36.27,1952500
15980,2015-02-13,SSGC,36.41,37.29,36.11,36.84,1424500
16475,2015-02-16,SSGC,36.61,37.0,36.0,36.23,1015000
16972,2015-02-17,SSGC,36.5,36.66,35.5,35.77,1271000
17474,2015-02-18,SSGC,36.08,37.35,35.75,37.07,2026000
17978,2015-02-19,SSGC,37.05,38.5,36.99,38.16,2958000
18469,2015-02-20,SSGC,38.5,38.5,37.25,37.47,1090500
18958,2015-02-23,SSGC,37.05,37.6,37.01,37.12,530500
19505,2015-02-24,SSGC,37.0,37.44,36.7,36.95,267000
20038,2015-02-25,SSGC,37.0,37.0,36.11,36.3,900000
20593,2015-02-26,SSGC,36.02,36.7,36.0,36.55,912500
21119,2015-02-27,SSGC,36.7,37.85,36.7,37.09,3266500
21655,2015-03-02,SSGC,37.0,37.8,36.6,37.03,868000
22161,2015-03-03,SSGC,37.0,37.4,36.01,37.28,1199500
22662,2015-03-04,SSGC,37.49,38.39,37.2,37.55,1029500
23159,2015-03-05,SSGC,37.89,39.42,37.6,39.24,3576000
23626,2015-03-06,SSGC,39.5,39.89,39.0,39.17,1429000
24102,2015-03-09,SSGC,39.4,40.35,38.61,39.5,2959000
24587,2015-03-10,SSGC,40.5,40.9,39.4,39.99,2646000
25072,2015-03-11,SSGC,39.15,39.8,39.11,39.41,1151000
25557,2015-03-12,SSGC,39.6,40.49,38.75,38.9,1441000
26038,2015-03-13,SSGC,39.3,39.5,38.45,39.13,502500
26524,2015-03-16,SSGC,39.0,40.35,38.8,39.09,1792500
26994,2015-03-17,SSGC,39.05,39.1,38.0,38.61,996500
27500,2015-03-18,SSGC,38.49,38.5,36.68,36.79,2984500
27991,2015-03-19,SSGC,37.0,37.55,36.5,36.88,787000
28461,2015-03-20,SSGC,37.15,38.35,36.95,37.9,1786000
28930,2015-03-24,SSGC,38.45,38.5,36.9,37.18,523000
29435,2015-03-25,SSGC,37.05,37.49,36.7,36.9,272500
29947,2015-03-26,SSGC,37.18,37.75,35.11,36.93,3224000
30478,2015-03-27,SSGC,37.44,38.1,36.4,36.59,4690500
31031,2015-03-30,SSGC,35.9,36.65,34.77,35.34,2785500
31539,2015-03-31,SSGC,35.35,37.1,35.35,37.08,1477500
32043,2015-04-01,SSGC,37.3,37.3,35.43,35.72,1148500
