,Date,Symbol,Open,High,Low,Close,Volume
39,2015-01-01,SMBL,,4.5,4.45,4.49,862000
534,2015-01-02,SMBL,4.45,4.73,4.45,4.56,8879000
1066,2015-01-05,SMBL,4.66,4.7,4.52,4.56,1270500
1578,2015-01-06,SMBL,4.53,4.6,4.41,4.46,10096500
2090,2015-01-07,SMBL,4.47,4.55,4.42,4.45,1820000
2601,2015-01-08,SMBL,4.48,4.48,4.21,4.31,3851000
3119,2015-01-09,SMBL,4.31,4.42,4.3,4.35,2985000
3633,2015-01-12,SMBL,4.32,4.44,4.3,4.33,2643500
4162,2015-01-13,SMBL,4.31,4.39,4.27,4.35,2465000
4706,2015-01-14,SMBL,4.35,4.44,4.35,4.36,877500
5249,2015-01-15,SMBL,4.37,4.49,4.37,4.4,1026000
5800,2015-01-16,SMBL,4.4,4.48,4.35,4.38,1045000
6330,2015-01-19,SMBL,4.49,4.58,4.35,4.56,2818000
6866,2015-01-20,SMBL,4.55,4.64,4.51,4.58,1752500
7398,2015-01-21,SMBL,4.6,4.62,4.46,4.52,3529500
7932,2015-01-22,SMBL,4.5,4.56,4.45,4.45,1539000
8452,2015-01-23,SMBL,4.53,4.81,4.47,4.62,5541000
8962,2015-01-26,SMBL,4.6,4.66,4.45,4.59,3896000
9523,2015-01-27,SMBL,4.55,4.66,4.51,4.55,469500
10079,2015-01-28,SMBL,4.59,4.6,4.5,4.51,962000
10628,2015-01-29,SMBL,4.5,4.55,4.5,4.51,1772000
11173,2015-01-30,SMBL,4.51,4.6,4.5,4.53,944000
11719,2015-02-02,SMBL,4.51,4.74,4.45,4.5,589000
12234,2015-02-03,SMBL,4.55,4.63,4.55,4.6,1326500
12753,2015-02-04,SMBL,4.5,4.6,4.5,4.55,1086000
13274,2015-02-06,SMBL,4.51,4.6,4.5,4.52,887500
13775,2015-02-09,SMBL,4.51,4.6,4.5,4.54,348500
14277,2015-02-10,SMBL,4.59,4.64,4.48,4.49,712000
14784,2015-02-11,SMBL,4.5,4.55,4.4,4.41,822500
15294,2015-02-12,SMBL,4.37,4.44,4.25,4.28,564500
15800,2015-02-13,SMBL,4.44,4.5,4.36,4.39,174000
16304,2015-02-16,SMBL,4.32,4.38,4.21,4.3,96000
16794,2015-02-17,SMBL,4.29,4.3,4.25,4.26,184500
17295,2015-02-18,SMBL,4.2,4.34,4.16,4.19,83000
17793,2015-02-19,SMBL,4.11,4.2,4.11,4.2,105000
18296,2015-02-20,SMBL,4.23,4.27,4.15,4.24,163000
18789,2015-02-23,SMBL,4.22,4.28,4.15,4.17,49500
19318,2015-02-24,SMBL,4.16,4.23,4.12,4.14,97500
19858,2015-02-25,SMBL,4.28,4.28,4.18,4.24,633500
20403,2015-02-26,SMBL,4.16,4.21,4.1,4.2,227500
20945,2015-02-27,SMBL,4.18,4.2,4.15,4.15,261000
21477,2015-03-02,SMBL,4.13,4.19,3.91,3.92,554000
21981,2015-03-03,SMBL,3.9,4.05,3.85,4.03,677500
22481,2015-03-04,SMBL,4.09,4.19,4.0,4.1,205000
22985,2015-03-05,SMBL,4.18,4.4,4.06,4.32,2341500
23469,2015-03-06,SMBL,4.45,4.55,4.07,4.13,1050500
