,Date,Symbol,Open,High,Low,Close,Volume
2739,2015-01-08,TSML,36.06,37.0,36.06,37.0,1000
6479,2015-01-19,TSML,0.0,37.2543,37.2543,37.2543,0
7548,2015-01-21,TSML,37.85,37.85,37.5,37.5,1500
11861,2015-02-02,TSML,35.75,35.75,35.75,35.75,1000
12377,2015-02-03,TSML,36.85,36.85,36.85,36.85,1000
12896,2015-02-04,TSML,37.0,37.0,37.0,37.0,1000
14412,2015-02-10,TSML,35.15,35.15,35.15,35.15,1000
14922,2015-02-11,TSML,34.5,35.0,34.0,34.9,12000
15434,2015-02-12,TSML,33.8,35.95,33.8,35.95,1500
15931,2015-02-13,TSML,34.21,34.21,34.16,34.19,1500
16427,2015-02-16,TSML,33.0,33.0,33.0,33.0,1000
18913,2015-02-23,TSML,34.65,34.65,34.65,34.65,3500
19993,2015-02-25,TSML,33.0,33.0,33.0,33.0,500
22114,2015-03-03,TSML,31.35,31.35,31.35,31.35,500
22616,2015-03-04,TSML,30.0,30.0,30.0,30.0,1500
23114,2015-03-05,TSML,30.1,30.1,30.1,30.1,1000
23581,2015-03-06,TSML,28.6,30.0,28.6,30.0,1500
34503,2015-04-08,TSML,28.5,28.5,28.5,28.5,1000
34992,2015-04-09,TSML,29.92,29.92,29.92,29.92,500
41643,2015-04-28,TSML,28.5,28.5,28.43,28.43,2000
42163,2015-04-29,TSML,27.5,29.5,27.5,27.7,5000
43160,2015-05-04,TSML,26.35,26.35,26.35,26.35,500
43659,2015-05-05,TSML,25.05,25.05,25.05,25.05,1000
44165,2015-05-06,TSML,23.8,25.0,23.8,23.97,5500
44667,2015-05-07,TSML,24.01,24.01,24.0,24.0,1000
45151,2015-05-08,TSML,25.2,25.2,25.2,25.2,500
47552,2015-05-15,TSML,26.46,26.46,26.46,26.46,500
48032,2015-05-18,TSML,27.78,27.78,27.78,27.78,500
48509,2015-05-20,TSML,30.61,30.61,30.61,30.61,500
48984,2015-05-21,TSML,32.14,32.14,32.14,32.14,500
49453,2015-05-22,TSML,33.74,33.74,33.74,33.74,1000
49922,2015-05-25,TSML,35.38,35.42,35.38,35.4,4000
50447,2015-05-27,TSML,34.67,34.67,34.67,34.67,500
52053,2015-06-01,TSML,36.4,36.4,36.4,36.4,1000
52570,2015-06-02,TSML,38.22,38.22,37.7,38.2,2000
53085,2015-06-03,TSML,40.0,40.0,40.0,40.0,1500
55701,2015-06-10,TSML,40.0,40.0,40.0,40.0,500
58363,2015-06-18,TSML,39.99,42.0,39.99,42.0,20000
58868,2015-06-19,TSML,40.0,40.0,40.0,40.0,4500
60470,2015-06-24,TSML,38.5,38.5,38.1,38.1,1000
70794,2015-07-27,TSML,37.0,37.0,37.0,37.0,1000
71911,2015-07-29,TSML,38.8,38.8,38.8,38.8,500
72461,2015-07-30,TSML,40.0,40.74,40.0,40.74,1500
73533,2015-08-03,TSML,40.74,40.74,40.74,40.74,500
74021,2015-08-04,TSML,40.74,40.74,40.74,40.74,1500
74537,2015-08-05,TSML,40.74,40.74,40.74,40.74,500
75057,2015-08-06,TSML,40.74,40.74,40.74,40.74,500
75581,2015-08-07,TSML,40.74,40.74,40.74,40.74,1000
76611,2015-08-11,TSML,40.74,40.74,40.74,40.74,500
81796,2015-08-26,TSML,40.25,42.77,40.25,42.77,2500
82342,2015-08-27,TSML,0.0,44.9,44.9,44.9,0
83448,2015-08-31,TSML,47.14,47.14,47.14,47.14,500
83970,2015-09-01,TSML,0.0,49.49,49.49,47.14,500
84456,2015-09-14,TSML,56.8,56.8,56.8,56.8,1000
84937,2015-09-15,TSML,59.55,59.64,59.55,59.64,1500
85415,2015-09-16,TSML,62.59,62.59,62.59,62.59,1000
87833,2015-09-23,TSML,65.65,65.65,65.65,65.65,500
88798,2015-09-29,TSML,65.0,65.0,65.0,65.0,500
89742,2015-10-01,TSML,65.0,68.1,65.0,68.1,1000
90695,2015-10-05,TSML,68.0,71.5,68.0,71.0,4000
91685,2015-10-07,TSML,73.5,74.55,73.5,74.12,2500
92172,2015-10-08,TSML,77.25,77.4,77.25,77.25,1500
93181,2015-10-12,TSML,75.0,75.0,75.0,75.0,500
93690,2015-10-13,TSML,75.0,78.65,75.0,76.22,3000
94201,2015-10-14,TSML,79.5,79.99,79.5,79.99,1500
94701,2015-10-15,TSML,83.5,83.8,83.5,83.8,2000
95192,2015-10-16,TSML,87.85,87.85,87.85,87.85,500
96201,2015-10-20,TSML,83.5,83.5,83.5,83.5,1000
96703,2015-10-21,TSML,83.5,83.5,83.5,83.5,500
97200,2015-10-22,TSML,86.2,87.67,86.2,87.67,1500
99839,2015-10-30,TSML,92.03,92.03,92.03,92.03,500
100864,2015-11-03,TSML,96.58,96.6,96.58,96.6,4000
101886,2015-11-05,TSML,100.1,100.1,100.1,100.1,500
104871,2015-11-13,TSML,0.0,99.0,99.0,99.0,0
105866,2015-11-17,TSML,98.5,99.0,98.5,99.0,2500
107385,2015-11-20,TSML,103.64,103.64,103.64,103.64,500
107895,2015-11-23,TSML,99.0,99.0,99.0,99.0,1000
109521,2015-11-26,TSML,99.0,99.0,99.0,99.0,500
111555,2015-12-02,TSML,103.65,103.65,103.65,103.65,3000
112043,2015-12-03,TSML,99.0,108.75,99.0,108.75,3000
113498,2015-12-08,TSML,113.9,113.9,113.9,113.9,500
114488,2015-12-10,TSML,119.0,119.0,119.0,119.0,500
122527,2016-01-12,TSML,113.5,118.25,113.5,118.25,3000
