,Date,Symbol,Open,High,Low,Close,Volume
112,2015-01-01,TATM,35.61,36.95,35.6,36.95,1500
618,2015-01-02,TATM,37.95,38.05,37.95,38.0,2500
1142,2015-01-05,TATM,37.6,37.6,37.5,37.5,1000
2162,2015-01-07,TATM,37.5,37.5,37.0,37.06,10000
2669,2015-01-08,TATM,36.8,36.8,36.78,36.78,1000
3190,2015-01-09,TATM,36.0,36.3,36.0,36.3,1500
3710,2015-01-12,TATM,36.8,37.7,36.8,37.0,8000
4244,2015-01-13,TATM,37.01,37.01,37.0,37.0,2000
4789,2015-01-14,TATM,37.25,37.99,37.25,37.99,2500
6407,2015-01-19,TATM,38.0,38.5,37.75,38.25,11000
6948,2015-01-20,TATM,38.5,38.5,38.15,38.15,3500
7484,2015-01-21,TATM,37.99,37.99,37.7,37.7,3000
8008,2015-01-22,TATM,37.5,37.5,37.5,37.5,2000
9598,2015-01-27,TATM,36.52,37.5,36.5,37.5,3500
10706,2015-01-29,TATM,37.5,37.5,37.0,37.0,5000
11245,2015-01-30,TATM,35.51,36.9,35.51,36.9,7000
11792,2015-02-02,TATM,36.99,37.15,36.99,37.12,4000
12311,2015-02-03,TATM,36.99,36.99,36.45,36.45,3000
12831,2015-02-04,TATM,36.01,36.14,35.75,35.86,5000
13341,2015-02-06,TATM,36.99,37.14,36.99,36.99,2500
13846,2015-02-09,TATM,36.51,36.51,36.0,36.03,4500
14347,2015-02-10,TATM,37.0,37.0,36.0,36.1,2000
14854,2015-02-11,TATM,35.65,35.65,35.65,35.65,1000
15367,2015-02-12,TATM,35.3,35.3,35.01,35.01,2000
15870,2015-02-13,TATM,34.25,34.99,34.25,34.99,7500
16367,2015-02-16,TATM,34.99,34.99,34.99,34.99,1000
16865,2015-02-17,TATM,35.0,35.0,34.5,34.5,1500
17365,2015-02-18,TATM,34.0,34.0,34.0,34.0,1000
17869,2015-02-19,TATM,34.93,34.93,34.93,34.0,500
18369,2015-02-20,TATM,33.12,34.5,33.12,34.5,1500
18854,2015-02-23,TATM,34.0,34.0,34.0,34.0,500
19392,2015-02-24,TATM,33.05,33.85,33.05,33.6,10000
19937,2015-02-25,TATM,32.41,32.52,32.0,32.52,7000
20481,2015-02-26,TATM,32.0,32.0,32.0,32.0,2000
21019,2015-02-27,TATM,33.48,33.6,33.48,33.6,3000
21552,2015-03-02,TATM,32.26,33.0,31.92,31.92,6000
22055,2015-03-03,TATM,32.0,32.74,32.0,32.0,4000
22559,2015-03-04,TATM,32.5,32.5,31.2,31.36,2500
23057,2015-03-05,TATM,32.5,32.86,32.06,32.16,5000
23533,2015-03-06,TATM,32.07,32.07,32.07,32.07,500
24007,2015-03-09,TATM,31.6,32.69,31.6,32.5,3000
25947,2015-03-13,TATM,32.32,32.32,32.32,32.32,500
26429,2015-03-16,TATM,32.5,32.5,32.5,32.5,1000
26904,2015-03-17,TATM,31.0,31.0,30.88,30.88,1000
27397,2015-03-18,TATM,29.55,30.48,29.34,30.48,6500
27892,2015-03-19,TATM,30.44,30.44,30.44,30.44,500
28369,2015-03-20,TATM,30.4,31.0,29.13,29.13,16500
28841,2015-03-24,TATM,30.48,30.48,30.3,30.3,1000
29345,2015-03-25,TATM,28.8,30.0,28.79,29.4,1500
29855,2015-03-26,TATM,28.11,28.11,27.93,27.93,16000
30918,2015-03-30,TATM,26.54,26.54,26.54,26.54,1000
31438,2015-03-31,TATM,27.86,27.86,26.05,26.05,1000
31944,2015-04-01,TATM,27.3,27.35,27.0,27.35,2500
32446,2015-04-02,TATM,28.66,28.71,28.66,28.71,2000
33964,2015-04-07,TATM,27.8,27.8,27.5,27.5,1000
34943,2015-04-09,TATM,27.75,28.0,27.7,28.0,3000
35955,2015-04-13,TATM,27.25,27.25,26.6,27.2,12000
36439,2015-04-14,TATM,27.5,27.5,27.5,27.5,2000
36914,2015-04-15,TATM,28.0,28.0,28.0,28.0,1000
37402,2015-04-16,TATM,28.4,28.47,28.4,28.47,6000
37910,2015-04-17,TATM,28.99,29.89,28.99,29.89,7000
38422,2015-04-20,TATM,31.33,31.38,31.33,31.38,13000
38955,2015-04-21,TATM,31.3,31.5,30.5,31.0,8000
39481,2015-04-22,TATM,31.0,31.6,31.0,31.2,5500
40022,2015-04-23,TATM,31.0,31.0,31.0,31.0,2000
40544,2015-04-24,TATM,31.0,32.0,31.0,31.0,2000
41078,2015-04-27,TATM,31.0,31.0,30.31,30.33,1500
41579,2015-04-28,TATM,29.8,29.8,28.9,28.9,2000
42105,2015-04-29,TATM,29.98,30.0,29.98,30.0,2000
43110,2015-05-04,TATM,29.99,29.99,29.99,29.99,500
43604,2015-05-05,TATM,28.76,29.85,28.76,28.76,1000
44110,2015-05-06,TATM,29.4,29.4,28.2,28.2,1500
44610,2015-05-07,TATM,29.4,29.4,28.1,28.1,2500
45107,2015-05-08,TATM,28.9,28.9,28.25,28.25,2000
45585,2015-05-11,TATM,28.5,28.5,28.5,28.25,500
46066,2015-05-12,TATM,28.25,28.25,27.2,27.2,4500
46541,2015-05-13,TATM,28.5,28.5,28.3,27.2,1000
47015,2015-05-14,TATM,27.01,27.01,27.01,27.01,500
47497,2015-05-15,TATM,28.0,28.36,27.01,27.02,15000
47980,2015-05-18,TATM,27.85,27.85,26.54,26.54,10500
48459,2015-05-20,TATM,27.5,27.5,26.86,26.86,1000
48930,2015-05-21,TATM,26.5,28.0,26.5,27.64,7500
49870,2015-05-25,TATM,27.1,27.1,27.0,27.0,2000
50918,2015-05-28,TATM,27.7,27.7,27.7,27.7,500
51447,2015-05-29,TATM,0.0,27.0,27.0,27.7,10000
51984,2015-06-01,TATM,28.25,29.08,28.25,28.9,30000
52510,2015-06-02,TATM,28.8,28.9,28.8,28.9,2500
53027,2015-06-03,TATM,28.7,28.7,28.69,28.69,1000
53550,2015-06-04,TATM,28.2,28.5,28.2,28.5,19000
54069,2015-06-05,TATM,28.8,29.0,28.6,29.0,4500
54585,2015-06-08,TATM,28.4,30.45,28.25,30.45,23500
55115,2015-06-09,TATM,30.01,31.0,30.01,30.22,6000
55637,2015-06-10,TATM,0.0,30.1,30.1,30.22,500
56165,2015-06-12,TATM,29.03,29.03,29.03,29.03,500
56700,2015-06-15,TATM,29.75,29.8,29.0,29.8,3500
57224,2015-06-16,TATM,28.77,29.08,28.77,29.04,2000
57753,2015-06-17,TATM,29.08,29.08,29.02,29.05,1000
58809,2015-06-19,TATM,30.0,30.0,29.3,29.3,2000
59834,2015-06-23,TATM,29.65,29.68,29.65,29.67,2000
60401,2015-06-24,TATM,30.44,30.5,30.25,30.5,7000
60963,2015-06-25,TATM,29.5,29.5,29.17,29.18,24500
61495,2015-06-26,TATM,28.15,29.5,28.15,29.3,5500
62028,2015-06-29,TATM,28.2,28.85,28.12,28.45,6500
62522,2015-06-30,TATM,29.2,29.2,28.81,29.2,1500
63013,2015-07-01,TATM,29.0,29.01,29.0,29.01,1000
63523,2015-07-02,TATM,29.0,29.0,29.0,29.0,500
64025,2015-07-03,TATM,28.51,28.51,28.5,28.5,2500
64528,2015-07-06,TATM,27.85,28.7,27.68,28.65,3000
65044,2015-07-07,TATM,28.2,28.2,28.2,28.2,500
67053,2015-07-13,TATM,29.0,29.0,29.0,29.0,500
67559,2015-07-14,TATM,29.0,29.0,29.0,29.0,2000
68079,2015-07-15,TATM,29.8,29.9,29.8,29.84,4000
68600,2015-07-16,TATM,30.0,31.0,30.0,30.5,9500
69131,2015-07-22,TATM,30.9,31.0,30.9,31.0,1000
69664,2015-07-23,TATM,30.75,31.0,30.7,31.0,2500
70200,2015-07-24,TATM,30.25,31.0,30.15,31.0,2500
70721,2015-07-27,TATM,30.01,30.1,29.56,29.56,2500
71278,2015-07-28,TATM,30.0,30.0,30.0,30.0,2000
71841,2015-07-29,TATM,31.39,31.5,30.8,31.5,15000
