,Date,Symbol,Open,High,Low,Close,Volume
145,2015-01-01,THALL,270.0,277.85,270.0,275.48,6700
661,2015-01-02,THALL,282.99,284.5,275.0,275.86,123100
1179,2015-01-05,THALL,279.99,289.0,279.99,280.15,48200
1689,2015-01-06,THALL,272.05,285.0,272.05,284.87,32300
2204,2015-01-07,THALL,281.01,295.0,278.0,290.17,123500
2718,2015-01-08,THALL,291.0,291.0,283.0,285.24,147600
3231,2015-01-09,THALL,275.1,288.9,275.1,281.04,72400
3749,2015-01-12,THALL,284.88,289.88,280.25,286.92,63800
4289,2015-01-13,THALL,288.49,288.5,285.25,287.1,18100
4836,2015-01-14,THALL,286.01,290.0,285.0,289.28,169900
5381,2015-01-15,THALL,289.99,295.0,288.02,290.73,178500
5923,2015-01-16,THALL,293.99,305.26,293.0,305.26,272800
6455,2015-01-19,THALL,317.98,319.5,310.0,315.0,169300
6992,2015-01-20,THALL,313.0,327.0,306.0,322.57,147300
7526,2015-01-21,THALL,323.01,336.98,320.01,329.62,252200
8049,2015-01-22,THALL,334.0,334.0,314.0,317.04,86000
8562,2015-01-23,THALL,318.0,320.0,308.0,312.52,29200
9081,2015-01-26,THALL,311.1,323.9,307.02,322.73,111200
9637,2015-01-27,THALL,324.0,327.0,320.0,324.57,65400
10192,2015-01-28,THALL,322.0,330.0,319.9,320.56,68800
10743,2015-01-29,THALL,320.0,324.95,320.0,323.66,61500
11285,2015-01-30,THALL,325.0,328.0,320.0,322.83,53100
11837,2015-02-02,THALL,323.9,330.0,321.0,322.8,152700
12355,2015-02-03,THALL,321.99,321.99,318.1,318.1,6500
12873,2015-02-04,THALL,319.99,324.0,315.5,319.98,25100
13379,2015-02-06,THALL,319.0,323.0,315.35,316.35,7500
13886,2015-02-09,THALL,316.0,320.5,310.01,319.75,30700
14391,2015-02-10,THALL,323.47,323.5,310.0,313.41,10000
14897,2015-02-11,THALL,315.0,315.7,310.0,310.6,15200
15413,2015-02-12,THALL,313.0,313.0,303.6,309.0,2500
15911,2015-02-13,THALL,293.55,320.0,293.55,318.47,45300
16405,2015-02-16,THALL,315.0,320.5,315.0,319.58,11100
16904,2015-02-17,THALL,311.01,312.5,310.0,310.5,4900
17404,2015-02-18,THALL,312.0,312.0,306.11,306.12,300
17911,2015-02-19,THALL,309.99,319.0,305.0,315.3,16600
18404,2015-02-20,THALL,311.01,319.85,310.0,313.0,8400
18893,2015-02-23,THALL,310.2,312.0,307.0,307.2,1900
19438,2015-02-24,THALL,315.0,315.0,299.99,302.94,13700
19976,2015-02-25,THALL,304.9,308.0,300.0,303.78,19400
20522,2015-02-26,THALL,305.0,306.0,303.0,303.2,15100
21060,2015-02-27,THALL,304.99,310.0,304.0,304.17,94000
21592,2015-03-02,THALL,300.0,305.0,297.02,303.0,800
22096,2015-03-03,THALL,300.0,300.0,300.0,300.0,1200
22602,2015-03-04,THALL,300.0,303.0,296.0,300.02,5100
23097,2015-03-05,THALL,300.0,301.0,299.0,300.0,900
