,Date,Symbol,Open,High,Low,Close,Volume
698,2015-01-02,THCCL,33.0,33.98,33.0,33.75,3500
1217,2015-01-05,THCCL,32.07,34.5,32.07,34.0,172500
1729,2015-01-06,THCCL,34.0,34.0,32.9,33.0,4500
2759,2015-01-08,THCCL,33.0,33.0,33.0,33.0,551500
3271,2015-01-09,THCCL,34.0,34.0,33.0,33.0,1103500
3794,2015-01-12,THCCL,32.5,32.5,32.0,32.0,10000
4334,2015-01-13,THCCL,33.6,33.6,32.25,32.9,43000
5426,2015-01-15,THCCL,34.44,34.44,33.0,33.0,4000
5967,2015-01-16,THCCL,31.66,31.66,31.66,31.66,500
7571,2015-01-21,THCCL,33.05,33.05,31.5,32.5,7000
10787,2015-01-29,THCCL,30.88,31.1,30.88,31.1,1000
11883,2015-02-02,THCCL,32.49,32.49,32.49,32.49,500
12918,2015-02-04,THCCL,30.88,30.91,30.88,30.91,1000
13423,2015-02-06,THCCL,31.0,31.0,30.85,30.85,6500
13929,2015-02-09,THCCL,29.31,29.31,29.31,29.31,500
16943,2015-02-17,THCCL,29.99,30.0,29.99,30.0,1500
17445,2015-02-18,THCCL,28.6,28.6,28.6,28.6,500
17949,2015-02-19,THCCL,27.21,29.99,27.21,29.99,1000
18931,2015-02-23,THCCL,30.59,30.59,30.59,30.59,500
19478,2015-02-24,THCCL,29.07,29.07,29.07,29.07,500
20564,2015-02-26,THCCL,27.63,27.63,27.62,27.62,1000
21093,2015-02-27,THCCL,26.24,27.6,26.24,26.24,5000
21628,2015-03-02,THCCL,27.48,27.48,27.48,27.48,500
22636,2015-03-04,THCCL,26.16,26.16,26.16,26.16,1000
23600,2015-03-06,THCCL,25.0,25.0,25.0,25.0,6500
24076,2015-03-09,THCCL,26.0,26.0,23.76,24.5,4500
24559,2015-03-10,THCCL,25.1,25.72,25.1,25.48,5500
25044,2015-03-11,THCCL,24.3,26.75,24.3,26.34,4500
26966,2015-03-17,THCCL,0.0,26.326,26.326,26.326,0
27474,2015-03-18,THCCL,26.0,26.0,26.0,26.0,500
27963,2015-03-19,THCCL,24.71,24.71,24.71,24.71,500
28434,2015-03-20,THCCL,25.05,25.05,25.0,25.0,4000
28904,2015-03-24,THCCL,23.81,24.85,23.8,24.48,4000
29410,2015-03-25,THCCL,25.63,25.7,25.5,25.7,18500
30450,2015-03-27,THCCL,24.43,25.25,24.43,25.04,7500
32015,2015-04-01,THCCL,25.5,26.29,25.5,26.08,4000
33532,2015-04-06,THCCL,27.3,27.3,27.3,27.3,1000
35518,2015-04-10,THCCL,28.54,28.66,25.95,28.11,6500
39025,2015-04-21,THCCL,26.72,27.0,26.72,27.0,1000
40609,2015-04-24,THCCL,27.4,27.4,27.4,27.4,500
41662,2015-04-28,THCCL,27.99,27.99,27.0,27.0,1000
42681,2015-04-30,THCCL,25.72,28.33,25.72,28.33,1500
43178,2015-05-04,THCCL,28.5,29.0,28.5,28.93,5000
44684,2015-05-07,THCCL,29.5,29.77,29.5,29.68,5500
48050,2015-05-18,THCCL,0.0,29.49,29.49,29.68,2000
48528,2015-05-20,THCCL,28.4,28.4,28.4,28.4,500
49469,2015-05-22,THCCL,28.4,29.82,28.4,28.5,2500
49941,2015-05-25,THCCL,27.08,29.0,27.08,27.08,3500
52073,2015-06-01,THCCL,0.0,28.0,28.0,28.27,4000
52590,2015-06-02,THCCL,0.0,28.98,28.98,28.27,2000
53104,2015-06-03,THCCL,0.0,29.35,29.35,28.27,2000
53631,2015-06-04,THCCL,26.92,28.5,26.92,28.5,1500
54674,2015-06-08,THCCL,0.0,29.49,29.49,28.5,2000
55199,2015-06-09,THCCL,28.1,28.1,28.1,28.1,500
55721,2015-06-10,THCCL,27.51,28.45,27.51,27.51,4000
56250,2015-06-12,THCCL,28.3,28.3,28.3,28.3,500
57840,2015-06-17,THCCL,28.36,28.9,28.36,28.36,22000
58886,2015-06-19,THCCL,29.0,29.0,29.0,29.0,3500
61566,2015-06-26,THCCL,29.7,30.25,28.5,30.25,6000
63097,2015-07-01,THCCL,29.0,29.1,29.0,29.1,1000
63606,2015-07-02,THCCL,29.6,30.0,29.6,30.0,6500
64104,2015-07-03,THCCL,31.0,31.0,30.0,30.08,11000
65123,2015-07-07,THCCL,30.0,31.45,30.0,31.4,21500
65635,2015-07-08,THCCL,30.5,30.51,30.5,30.51,1000
66146,2015-07-09,THCCL,31.5,32.03,30.5,30.5,3500
66641,2015-07-10,THCCL,31.0,32.02,31.0,31.05,4000
67133,2015-07-13,THCCL,32.0,32.0,32.0,32.0,500
67644,2015-07-14,THCCL,30.75,31.9,30.5,30.65,6000
68163,2015-07-15,THCCL,31.01,31.5,31.0,31.5,10500
68686,2015-07-16,THCCL,31.55,31.55,31.5,31.5,3000
69754,2015-07-23,THCCL,31.0,31.0,31.0,31.0,1000
70815,2015-07-27,THCCL,31.0,31.0,29.5,31.0,2500
71931,2015-07-29,THCCL,31.0,31.0,31.0,31.0,2500
73025,2015-07-31,THCCL,30.0,30.0,30.0,30.0,500
74041,2015-08-04,THCCL,31.0,31.5,30.0,30.0,23000
74558,2015-08-05,THCCL,30.0,30.0,29.5,29.5,10000
75078,2015-08-06,THCCL,28.52,29.0,28.52,29.0,11000
76109,2015-08-10,THCCL,30.0,30.0,29.0,29.0,4500
77147,2015-08-12,THCCL,0.0,29.49,29.49,29.0,1000
77670,2015-08-13,THCCL,28.95,28.95,28.95,28.95,500
78179,2015-08-17,THCCL,29.0,29.0,28.3,28.3,5000
78687,2015-08-18,THCCL,28.1,28.1,28.1,28.1,500
79204,2015-08-19,THCCL,27.01,27.01,27.01,27.01,500
80223,2015-08-21,THCCL,26.25,26.25,26.25,26.25,2000
80739,2015-08-24,THCCL,25.5,25.5,25.5,25.5,500
81274,2015-08-25,THCCL,26.0,26.0,26.0,26.0,500
81816,2015-08-26,THCCL,27.29,27.3,27.29,27.3,2000
83990,2015-09-01,THCCL,28.65,28.65,28.65,28.65,500
84477,2015-09-14,THCCL,29.0,29.0,29.0,29.0,500
85435,2015-09-16,THCCL,30.0,30.0,28.5,28.5,1000
85926,2015-09-17,THCCL,29.9,29.9,27.1,27.1,7500
86394,2015-09-18,THCCL,26.6,26.8,26.6,26.68,3000
86851,2015-09-21,THCCL,27.85,27.85,27.0,27.0,3000
87852,2015-09-23,THCCL,27.0,27.94,27.0,27.0,10000
88342,2015-09-28,THCCL,28.35,28.35,28.35,27.0,1000
88818,2015-09-29,THCCL,28.29,28.29,28.29,28.29,1000
89762,2015-10-01,THCCL,26.88,27.0,26.88,26.88,5000
90715,2015-10-05,THCCL,27.0,27.0,27.0,27.0,2500
91216,2015-10-06,THCCL,28.24,28.24,27.0,27.0,19500
91705,2015-10-07,THCCL,27.0,27.0,27.0,27.0,12500
