,Date,Symbol,Open,High,Low,Close,Volume
43,2015-01-01,BOK,9.51,9.6,9.5,9.6,4000
538,2015-01-02,BOK,9.72,9.72,9.52,9.54,22000
1070,2015-01-05,BOK,9.5,9.7,9.46,9.7,2008500
1582,2015-01-06,BOK,9.7,9.71,9.51,9.52,9500
2094,2015-01-07,BOK,9.36,9.59,9.36,9.5,2506500
2605,2015-01-08,BOK,9.54,9.55,9.41,9.53,15500
3123,2015-01-09,BOK,9.45,9.55,9.45,9.5,2515000
3637,2015-01-12,BOK,9.6,9.75,9.5,9.75,2545000
4166,2015-01-13,BOK,9.88,10.75,9.62,9.98,2715500
4710,2015-01-14,BOK,10.0,10.24,9.77,9.8,54000
5253,2015-01-15,BOK,9.98,9.98,9.69,9.7,14000
5804,2015-01-16,BOK,9.83,10.17,9.73,10.09,10144500
6334,2015-01-19,BOK,10.0,11.09,9.95,11.08,933000
6870,2015-01-20,BOK,11.48,11.48,10.9,10.94,175500
7402,2015-01-21,BOK,10.71,10.81,10.5,10.54,48500
7936,2015-01-22,BOK,10.88,10.9,10.0,10.0,1562000
8456,2015-01-23,BOK,10.1,10.3,9.55,9.6,19500
8966,2015-01-26,BOK,9.55,10.49,9.5,10.03,5052000
9527,2015-01-27,BOK,10.0,10.1,9.73,9.79,20500
10083,2015-01-28,BOK,9.98,10.0,9.5,9.71,10020000
10632,2015-01-29,BOK,9.51,10.0,9.51,9.9,32000
11177,2015-01-30,BOK,9.86,9.87,9.6,9.62,25000
11723,2015-02-02,BOK,9.63,9.8,9.55,9.7,36000
12238,2015-02-03,BOK,9.59,9.8,9.53,9.71,6664000
12757,2015-02-04,BOK,9.8,9.98,9.6,9.71,2522000
13278,2015-02-06,BOK,9.9,9.97,9.7,9.84,5019500
13779,2015-02-09,BOK,9.75,10.1,9.6,9.9,29500
14281,2015-02-10,BOK,9.85,10.1,9.67,9.99,11538500
14788,2015-02-11,BOK,9.86,10.01,9.85,9.94,14013000
15298,2015-02-12,BOK,9.9,9.9,9.6,9.62,7316500
15804,2015-02-13,BOK,9.6,9.89,9.6,9.83,5019000
16308,2015-02-16,BOK,9.61,9.8,9.61,9.71,10001500
16798,2015-02-17,BOK,9.6,9.7,9.6,9.65,1005500
17299,2015-02-18,BOK,9.66,9.88,9.6,9.77,8012000
17797,2015-02-19,BOK,9.63,9.89,9.63,9.82,8806000
18300,2015-02-20,BOK,9.75,9.9,9.7,9.89,7014000
18793,2015-02-23,BOK,9.76,9.89,9.75,9.76,3016000
19322,2015-02-24,BOK,9.76,9.9,9.76,9.87,14413500
19862,2015-02-25,BOK,10.0,10.1,9.85,9.99,8500
20407,2015-02-26,BOK,10.6,10.6,9.76,10.01,19500
20949,2015-02-27,BOK,9.75,10.0,9.75,10.0,21500
21481,2015-03-02,BOK,10.0,10.0,9.56,9.81,16000
21985,2015-03-03,BOK,9.76,9.98,9.76,9.9,12007500
22485,2015-03-04,BOK,10.0,10.0,9.8,9.84,702000
22989,2015-03-05,BOK,10.44,10.8,10.1,10.72,107000
23473,2015-03-06,BOK,10.5,10.8,10.05,10.11,25500
23945,2015-03-09,BOK,10.0,10.1,10.0,10.04,6000
24424,2015-03-10,BOK,9.85,9.85,9.8,9.8,1654500
24913,2015-03-11,BOK,9.61,10.25,9.61,9.71,508500
25396,2015-03-12,BOK,10.25,10.25,9.61,9.91,8000
25884,2015-03-13,BOK,10.38,10.91,10.38,10.91,64500
26366,2015-03-16,BOK,11.9,11.9,11.2,11.28,173500
