,Date,Symbol,Open,High,Low,Close,Volume
270,2015-01-01,SEARL,241.0,243.25,239.0,241.78,223400
795,2015-01-02,SEARL,241.0,251.95,241.0,247.25,704000
1313,2015-01-05,SEARL,251.0,254.69,247.5,248.7,594600
1821,2015-01-06,SEARL,247.99,252.25,245.0,248.52,545600
2340,2015-01-07,SEARL,247.5,252.3,245.25,247.48,402900
2852,2015-01-08,SEARL,248.5,250.0,245.0,245.96,217100
3366,2015-01-09,SEARL,246.5,249.4,241.75,242.73,393100
3892,2015-01-12,SEARL,242.5,254.86,242.5,249.27,1861800
4430,2015-01-13,SEARL,250.0,254.45,250.0,252.56,787700
4975,2015-01-14,SEARL,253.0,261.43,253.0,257.96,1099800
5522,2015-01-15,SEARL,259.45,264.8,258.55,261.38,850600
6059,2015-01-16,SEARL,264.6,266.0,255.51,256.75,553200
6593,2015-01-19,SEARL,258.0,262.1,256.0,257.77,690600
7129,2015-01-20,SEARL,260.0,260.0,256.0,256.68,148300
7666,2015-01-21,SEARL,257.0,260.0,254.01,255.07,257900
8188,2015-01-22,SEARL,255.98,256.96,248.0,249.67,269400
8695,2015-01-23,SEARL,249.99,254.04,249.01,251.66,286200
9219,2015-01-26,SEARL,254.0,263.89,253.0,260.58,997100
9775,2015-01-27,SEARL,260.05,273.6,260.05,266.08,1838400
10333,2015-01-28,SEARL,264.98,270.5,263.5,264.43,722200
10883,2015-01-29,SEARL,264.45,266.38,261.0,261.77,173100
11417,2015-01-30,SEARL,262.5,266.01,259.4,260.3,329800
11977,2015-02-02,SEARL,261.01,263.99,259.0,259.55,189300
12494,2015-02-03,SEARL,261.0,261.0,255.0,256.62,234100
13013,2015-02-04,SEARL,256.0,258.99,249.51,250.87,303300
13517,2015-02-06,SEARL,252.4,252.98,246.06,246.96,275800
14025,2015-02-09,SEARL,249.26,258.0,248.95,251.22,620500
14524,2015-02-10,SEARL,253.0,255.0,245.0,248.92,242600
15034,2015-02-11,SEARL,250.8,252.23,248.52,250.07,160900
15548,2015-02-12,SEARL,249.0,249.95,240.0,246.34,217400
16045,2015-02-13,SEARL,244.51,248.9,244.5,245.58,68700
16542,2015-02-16,SEARL,245.99,257.85,245.99,257.85,759700
17038,2015-02-17,SEARL,261.52,270.74,261.0,263.23,947100
17538,2015-02-18,SEARL,269.0,273.89,264.51,267.81,1247900
18044,2015-02-19,SEARL,266.7,266.7,256.0,257.32,414400
18533,2015-02-20,SEARL,256.09,257.8,249.11,250.72,293400
19021,2015-02-23,SEARL,250.61,254.5,248.0,249.73,225200
19569,2015-02-24,SEARL,250.5,251.9,244.5,245.59,307600
20104,2015-02-25,SEARL,242.5,251.0,242.5,245.46,650700
20656,2015-02-26,SEARL,245.99,251.0,245.5,247.31,377800
21185,2015-02-27,SEARL,248.99,248.85,244.0,244.67,276400
21720,2015-03-02,SEARL,246.0,247.0,232.44,232.5,440100
22226,2015-03-03,SEARL,232.5,239.0,229.0,232.78,628300
22727,2015-03-04,SEARL,234.8,237.0,230.75,232.43,327600
23220,2015-03-05,SEARL,233.0,237.5,233.0,233.64,505300
23691,2015-03-06,SEARL,235.0,238.47,232.25,234.76,522900
24165,2015-03-09,SEARL,233.5,234.98,230.5,231.04,224000
24652,2015-03-10,SEARL,232.9,232.9,219.49,219.51,528200
25136,2015-03-11,SEARL,215.0,218.0,211.51,214.59,682600
25623,2015-03-12,SEARL,216.01,221.48,214.99,216.17,523400
26105,2015-03-13,SEARL,217.9,226.97,217.7,226.97,1149600
26588,2015-03-16,SEARL,230.9,237.97,229.5,231.86,873600
27060,2015-03-17,SEARL,233.99,235.99,228.02,233.32,607200
27563,2015-03-18,SEARL,233.6,234.5,221.66,223.45,507100
28053,2015-03-19,SEARL,223.0,229.01,219.36,221.08,337300
28521,2015-03-20,SEARL,222.89,230.5,222.0,229.08,460200
28993,2015-03-24,SEARL,232.5,233.0,225.0,226.87,301900
29499,2015-03-25,SEARL,228.0,228.0,220.0,220.85,225800
30011,2015-03-26,SEARL,222.9,225.0,209.81,215.17,453200
30543,2015-03-27,SEARL,217.4,220.25,209.49,211.47,509600
31096,2015-03-30,SEARL,212.0,212.0,200.9,200.9,226600
31603,2015-03-31,SEARL,194.0,210.94,194.0,210.94,696900
32107,2015-04-01,SEARL,211.0,221.48,204.55,220.74,835000
32615,2015-04-02,SEARL,223.5,231.77,222.3,230.82,525700
33120,2015-04-03,SEARL,233.9,241.0,232.5,239.46,470800
33623,2015-04-06,SEARL,241.0,244.9,235.01,238.85,521300
34127,2015-04-07,SEARL,239.0,239.99,232.52,232.97,198000
34612,2015-04-08,SEARL,233.99,236.0,232.0,233.22,124500
35102,2015-04-09,SEARL,232.6,234.2,229.5,231.24,95100
35610,2015-04-10,SEARL,232.5,240.7,232.0,237.32,474500
36119,2015-04-13,SEARL,238.0,249.18,232.7,244.33,1134000
36590,2015-04-14,SEARL,245.0,247.99,238.0,239.77,354600
37074,2015-04-15,SEARL,242.99,245.75,239.0,240.25,237700
37571,2015-04-16,SEARL,244.26,244.99,240.05,240.77,321700
38088,2015-04-17,SEARL,241.51,243.7,235.71,238.62,571000
38593,2015-04-20,SEARL,240.5,245.24,239.0,240.54,762200
39115,2015-04-21,SEARL,241.0,252.56,236.3,251.53,1900200
39652,2015-04-22,SEARL,257.0,264.1,255.0,258.01,1355800
40179,2015-04-23,SEARL,258.6,269.0,255.99,262.43,1337100
40701,2015-04-24,SEARL,263.0,265.15,258.0,259.16,343900
41243,2015-04-27,SEARL,260.5,271.0,258.0,269.69,1243900
41757,2015-04-28,SEARL,269.99,271.0,261.5,262.39,432100
42276,2015-04-29,SEARL,263.0,266.89,259.0,259.78,561700
42774,2015-04-30,SEARL,259.0,263.2,258.0,261.28,476100
43269,2015-05-04,SEARL,262.8,266.0,259.0,261.08,866800
43767,2015-05-05,SEARL,260.95,260.99,255.0,256.73,317000
44274,2015-05-06,SEARL,257.88,260.45,253.99,254.45,343300
44777,2015-05-07,SEARL,256.0,256.0,250.12,250.84,208200
45263,2015-05-08,SEARL,250.0,256.25,250.0,254.99,813000
45752,2015-05-11,SEARL,253.26,253.26,242.25,243.53,336800
46229,2015-05-12,SEARL,242.75,250.15,242.0,249.56,383100
46699,2015-05-13,SEARL,250.95,252.4,243.7,244.72,268500
47173,2015-05-14,SEARL,246.0,253.5,246.0,250.96,718800
47655,2015-05-15,SEARL,251.95,259.0,249.0,257.09,889100
48141,2015-05-18,SEARL,256.0,257.0,250.0,250.76,202800
48619,2015-05-20,SEARL,252.5,256.7,250.5,254.87,472600
49094,2015-05-21,SEARL,254.01,260.0,254.0,257.91,307800
49560,2015-05-22,SEARL,258.99,263.0,257.5,261.61,633500
50033,2015-05-25,SEARL,265.99,267.5,261.0,261.98,496100
50560,2015-05-27,SEARL,253.51,258.0,253.51,255.47,124800
51083,2015-05-28,SEARL,257.0,258.75,253.01,257.13,175900
51610,2015-05-29,SEARL,257.5,259.75,255.26,256.26,265500
52169,2015-06-01,SEARL,257.0,261.5,256.0,260.19,420400
52688,2015-06-02,SEARL,263.0,273.0,263.0,270.48,2483600
53203,2015-06-03,SEARL,270.5,271.0,265.5,267.15,577600
53728,2015-06-04,SEARL,268.0,271.41,267.0,268.9,313800
54242,2015-06-05,SEARL,269.5,280.9,267.0,279.7,1122000
54772,2015-06-08,SEARL,269.0,293.68,268.0,293.68,1293300
55298,2015-06-09,SEARL,295.0,304.9,295.0,295.83,949300
55817,2015-06-10,SEARL,296.0,298.0,290.0,292.36,461000
56344,2015-06-12,SEARL,293.5,299.49,290.0,293.09,441700
56883,2015-06-15,SEARL,291.55,295.9,290.16,290.64,175800
57404,2015-06-16,SEARL,290.5,298.89,287.5,297.24,684900
57937,2015-06-17,SEARL,298.4,308.95,297.0,302.62,906700
58473,2015-06-18,SEARL,303.99,316.74,302.0,315.12,1175700
58978,2015-06-19,SEARL,314.98,318.7,310.5,314.54,344200
59472,2015-06-22,SEARL,313.0,325.8,305.15,322.29,673600
60014,2015-06-23,SEARL,323.7,332.95,323.7,326.04,533400
60583,2015-06-24,SEARL,327.01,331.7,322.2,324.0,392200
61129,2015-06-25,SEARL,324.9,326.0,320.0,321.61,260900
61660,2015-06-26,SEARL,322.0,324.05,314.99,316.21,277300
62196,2015-06-29,SEARL,318.85,321.5,317.0,317.76,155300
62687,2015-06-30,SEARL,320.95,323.5,319.15,320.69,215000
63190,2015-07-01,SEARL,322.0,322.9,316.5,317.28,170200
63697,2015-07-02,SEARL,318.8,329.95,318.8,324.62,721800
64197,2015-07-03,SEARL,328.88,340.85,324.03,339.47,740700
64707,2015-07-06,SEARL,339.92,348.99,335.2,343.04,903800
65219,2015-07-07,SEARL,343.99,345.55,337.0,337.98,269100
65729,2015-07-08,SEARL,339.5,339.5,331.0,332.5,244400
66241,2015-07-09,SEARL,330.5,339.89,328.5,334.41,336300
66733,2015-07-10,SEARL,338.0,344.0,325.0,327.91,548400
67230,2015-07-13,SEARL,331.7,333.99,323.0,330.5,235800
67738,2015-07-14,SEARL,332.0,339.0,329.51,337.31,368100
68259,2015-07-15,SEARL,339.0,350.45,339.0,348.9,873000
68779,2015-07-16,SEARL,349.98,353.9,344.5,345.87,572700
69315,2015-07-22,SEARL,346.99,353.0,346.99,349.26,213700
69852,2015-07-23,SEARL,352.99,352.99,344.5,345.32,132000
70378,2015-07-24,SEARL,344.99,349.95,340.02,341.53,121200
70910,2015-07-27,SEARL,343.8,345.0,325.7,332.69,170600
71457,2015-07-28,SEARL,335.0,337.8,332.39,334.72,113900
72025,2015-07-29,SEARL,337.38,344.15,334.55,338.54,364500
72573,2015-07-30,SEARL,337.75,341.0,333.5,338.7,107800
73113,2015-07-31,SEARL,338.1,340.5,336.1,338.64,63000
73639,2015-08-03,SEARL,338.01,346.75,338.01,344.08,166100
74134,2015-08-04,SEARL,345.99,351.2,342.5,345.51,246600
74652,2015-08-05,SEARL,345.0,362.78,345.0,362.78,826500
75174,2015-08-06,SEARL,366.0,380.91,366.0,380.91,703500
75695,2015-08-07,SEARL,383.48,387.95,373.2,375.47,578900
