,Date,Symbol,Open,High,Low,Close,Volume
317,2015-01-01,TREET,132.99,136.95,132.0,135.45,448400
847,2015-01-02,TREET,136.4,138.9,135.99,136.62,491600
1362,2015-01-05,TREET,136.1,139.95,136.1,137.62,356100
1869,2015-01-06,TREET,137.01,139.49,136.0,136.07,229400
2388,2015-01-07,TREET,136.5,138.15,136.05,136.36,136200
2902,2015-01-08,TREET,137.5,141.84,137.11,139.36,1096000
3418,2015-01-09,TREET,139.98,141.47,137.75,138.02,417400
3944,2015-01-12,TREET,138.9,141.0,137.99,139.01,567500
4482,2015-01-13,TREET,139.7,141.85,137.5,140.76,1121800
5024,2015-01-14,TREET,142.0,144.44,141.7,143.1,1668200
5577,2015-01-15,TREET,143.7,149.49,142.5,145.93,2262700
6108,2015-01-16,TREET,145.7,147.9,143.0,143.63,567400
6643,2015-01-19,TREET,144.01,146.35,143.5,143.93,905000
7178,2015-01-20,TREET,144.0,146.2,142.0,142.91,777900
7714,2015-01-21,TREET,143.48,145.74,142.4,143.0,832000
8239,2015-01-22,TREET,144.0,150.15,143.9,150.15,2042200
8745,2015-01-23,TREET,154.0,155.0,146.2,147.26,1537200
9271,2015-01-26,TREET,154.0,154.0,148.0,149.26,1219300
9826,2015-01-27,TREET,148.6,150.6,145.85,146.23,344500
10382,2015-01-28,TREET,146.0,148.1,144.8,145.33,367200
10930,2015-01-29,TREET,145.5,147.05,144.6,144.97,323300
11465,2015-01-30,TREET,145.84,148.0,145.0,145.3,579500
12026,2015-02-02,TREET,146.4,148.99,146.01,146.49,829500
12542,2015-02-03,TREET,147.5,148.55,146.0,146.38,436300
13061,2015-02-04,TREET,147.0,148.5,145.75,146.49,583300
13563,2015-02-06,TREET,147.19,153.81,146.75,152.25,2327300
14071,2015-02-09,TREET,154.25,157.1,152.75,154.69,1574800
14572,2015-02-10,TREET,155.3,156.71,150.01,152.14,777400
15082,2015-02-11,TREET,153.25,153.65,146.0,147.35,436900
15595,2015-02-12,TREET,147.47,147.47,139.99,140.5,692300
16094,2015-02-13,TREET,141.5,143.5,139.66,141.54,462800
16586,2015-02-16,TREET,142.89,143.0,137.4,137.85,348400
17086,2015-02-17,TREET,137.1,139.9,133.75,134.25,387000
17584,2015-02-18,TREET,134.99,135.8,132.8,133.33,181600
18088,2015-02-19,TREET,133.01,139.99,132.5,138.92,487200
18580,2015-02-20,TREET,140.9,140.93,135.0,135.97,397200
19072,2015-02-23,TREET,136.4,137.0,133.65,134.28,152800
19617,2015-02-24,TREET,133.21,136.38,127.57,127.57,418300
20154,2015-02-25,TREET,121.2,124.25,121.2,122.15,874700
20704,2015-02-26,TREET,121.98,125.0,117.01,119.51,362200
21234,2015-02-27,TREET,120.0,121.0,117.0,118.08,178200
21770,2015-03-02,TREET,118.99,119.99,114.1,115.19,182800
22272,2015-03-03,TREET,115.0,118.0,114.0,117.27,177900
