,Date,Symbol,Open,High,Low,Close,Volume
4,2015-01-01,TSMF,4.1,4.43,4.1,4.43,1000
489,2015-01-02,TSMF,4.67,4.67,4.67,4.67,500
1022,2015-01-05,TSMF,4.65,4.65,4.15,4.15,105000
1540,2015-01-06,TSMF,4.45,4.6,4.25,4.25,5000
2049,2015-01-07,TSMF,4.6,4.6,4.6,4.6,500
3594,2015-01-12,TSMF,4.1,4.38,3.95,4.08,21500
4123,2015-01-13,TSMF,4.38,4.38,4.25,4.25,4500
4661,2015-01-14,TSMF,4.58,4.58,4.0,4.3,13500
5202,2015-01-15,TSMF,4.25,4.25,4.25,4.25,1000
5757,2015-01-16,TSMF,4.29,4.39,3.5,4.39,7000
6286,2015-01-19,TSMF,4.15,4.15,4.15,4.15,2000
7356,2015-01-21,TSMF,4.0,4.1,4.0,4.04,8000
7893,2015-01-22,TSMF,4.0,4.14,4.0,4.14,3000
8417,2015-01-23,TSMF,4.27,4.27,4.27,4.27,500
8921,2015-01-26,TSMF,3.6,4.29,3.5,4.29,2000
11139,2015-01-30,TSMF,3.6,4.24,3.6,3.94,9500
12198,2015-02-03,TSMF,4.37,4.37,4.37,4.37,500
13236,2015-02-06,TSMF,4.0,4.25,4.0,4.25,16000
15254,2015-02-12,TSMF,0.0,4.0,4.0,4.25,1000
16267,2015-02-16,TSMF,3.56,3.98,3.55,3.98,5500
17259,2015-02-18,TSMF,3.61,3.91,3.6,3.62,12000
17758,2015-02-19,TSMF,3.89,3.89,3.68,3.74,2000
18259,2015-02-20,TSMF,4.0,4.24,4.0,4.24,1000
19281,2015-02-24,TSMF,4.1,4.1,4.1,4.1,10000
21441,2015-03-02,TSMF,3.3,3.3,3.3,3.3,500
21942,2015-03-03,TSMF,3.5,3.88,3.5,3.88,17500
22446,2015-03-04,TSMF,3.5,4.0,3.5,4.0,2500
24872,2015-03-11,TSMF,3.26,3.26,3.26,3.26,500
25355,2015-03-12,TSMF,0.0,4.23,4.23,3.26,500
25850,2015-03-13,TSMF,4.23,4.23,4.23,4.23,500
26331,2015-03-16,TSMF,4.4,4.4,4.3,4.3,18000
26810,2015-03-17,TSMF,3.6,3.95,3.5,3.95,2000
27282,2015-03-18,TSMF,3.55,3.9,3.55,3.55,1500
27790,2015-03-19,TSMF,3.55,3.98,3.55,3.98,1000
29249,2015-03-25,TSMF,3.3,3.95,3.3,3.69,41500
29748,2015-03-26,TSMF,3.4,3.77,3.4,3.4,1500
30274,2015-03-27,TSMF,3.95,3.95,3.3,3.46,17500
30803,2015-03-30,TSMF,4.35,4.35,3.15,3.5,2000
31323,2015-03-31,TSMF,4.35,4.45,3.75,3.75,2000
32334,2015-04-02,TSMF,0.0,4.15,4.15,3.75,2000
32844,2015-04-03,TSMF,3.96,3.96,3.96,3.96,500
33848,2015-04-07,TSMF,3.89,3.89,3.89,3.89,11000
35328,2015-04-10,TSMF,3.17,3.85,3.17,3.85,1000
37287,2015-04-16,TSMF,3.94,3.95,3.7,3.7,14000
37794,2015-04-17,TSMF,4.4,4.4,2.71,3.47,16000
38849,2015-04-21,TSMF,3.4,3.7,3.4,3.55,1000
39905,2015-04-23,TSMF,0.0,3.94,3.94,3.55,500
40432,2015-04-24,TSMF,3.25,3.5,3.2,3.29,4000
40959,2015-04-27,TSMF,2.89,3.49,2.89,3.49,18000
41984,2015-04-29,TSMF,3.49,4.25,3.49,3.85,16000
42500,2015-04-30,TSMF,4.47,4.47,4.47,4.47,1000
42997,2015-05-04,TSMF,3.5,3.5,3.47,3.47,5500
43498,2015-05-05,TSMF,3.05,3.5,3.05,3.44,3000
43994,2015-05-06,TSMF,3.0,3.38,3.0,3.38,2000
44500,2015-05-07,TSMF,3.0,3.0,3.0,3.0,7000
45003,2015-05-08,TSMF,2.97,3.0,2.76,3.0,19000
45482,2015-05-11,TSMF,3.3,3.3,3.3,3.3,500
47399,2015-05-15,TSMF,3.49,3.99,3.49,3.99,3500
47879,2015-05-18,TSMF,3.01,3.01,2.99,2.99,235500
48362,2015-05-20,TSMF,2.82,3.07,2.82,3.02,14500
48833,2015-05-21,TSMF,2.65,3.09,2.51,2.74,13000
49309,2015-05-22,TSMF,2.8,2.8,2.8,2.8,1000
