,Date,Symbol,Open,High,Low,Close,Volume
59,2015-01-01,UBL,176.75,178.0,174.7,174.98,660900
554,2015-01-02,UBL,174.1,177.5,171.0,174.98,367200
1086,2015-01-05,UBL,175.3,176.35,174.75,175.01,369600
1598,2015-01-06,UBL,174.55,176.0,173.0,173.92,1539100
2109,2015-01-07,UBL,172.9,177.0,172.9,175.07,1019700
2621,2015-01-08,UBL,175.01,175.5,173.4,175.01,649700
3139,2015-01-09,UBL,175.0,176.0,173.8,174.33,465500
3653,2015-01-12,UBL,174.65,177.5,174.65,176.86,1204500
4182,2015-01-13,UBL,177.0,177.8,174.31,175.4,519500
4726,2015-01-14,UBL,175.01,176.25,175.0,175.3,786600
5269,2015-01-15,UBL,175.9,180.5,175.3,179.49,1818400
5820,2015-01-16,UBL,179.7,181.0,179.0,180.51,1167800
6350,2015-01-19,UBL,180.0,181.5,177.0,177.96,571200
6886,2015-01-20,UBL,178.06,179.0,177.2,178.76,1489500
7418,2015-01-21,UBL,178.5,185.5,178.5,184.87,2974600
7952,2015-01-22,UBL,184.0,186.0,178.53,179.89,941900
8472,2015-01-23,UBL,179.5,180.1,178.11,179.66,343900
8982,2015-01-26,UBL,178.11,183.48,178.0,181.58,1454200
9543,2015-01-27,UBL,182.85,182.85,177.99,179.11,1361200
10099,2015-01-28,UBL,178.15,179.88,178.06,178.9,611500
10648,2015-01-29,UBL,179.4,179.4,177.5,177.92,589800
11193,2015-01-30,UBL,178.5,182.2,177.75,179.99,1473500
11739,2015-02-02,UBL,180.8,181.5,178.75,179.12,1133900
12254,2015-02-03,UBL,179.0,179.9,177.53,178.41,645400
12773,2015-02-04,UBL,178.61,179.48,176.5,177.09,1171700
13294,2015-02-06,UBL,177.0,177.25,175.8,176.52,1114100
13795,2015-02-09,UBL,177.2,177.45,176.01,176.56,432200
14297,2015-02-10,UBL,176.5,176.5,172.55,173.15,1808600
14804,2015-02-11,UBL,173.0,174.5,171.35,173.76,319800
15314,2015-02-12,UBL,174.8,176.0,172.0,173.56,408500
15820,2015-02-13,UBL,173.02,174.5,170.99,172.03,455000
16324,2015-02-16,UBL,172.8,172.94,171.75,172.28,182300
16814,2015-02-17,UBL,171.05,174.5,171.05,173.31,347500
17315,2015-02-18,UBL,172.35,172.6,169.0,170.16,527300
17813,2015-02-19,UBL,171.44,172.9,169.01,171.17,700900
18316,2015-02-20,UBL,172.9,174.0,170.0,171.04,1132400
