,Date,Symbol,Open,High,Low,Close,Volume
328980,2020-07-01,WAVES,21.1,22.09,21.05,21.96,715000
338670,2020-07-01,WAVES,21.1,22.09,21.05,21.96,715000
442421,2018-07-11,WAVES,33.6,34.4,33.05,33.4,371000
442887,2018-07-12,WAVES,33.2,34.0,32.7,33.77,108500
443351,2018-07-13,WAVES,34.0,34.0,32.25,32.37,131500
443829,2018-07-17,WAVES,32.54,34.14,32.5,34.06,506500
444333,2018-07-18,WAVES,34.05,35.25,34.29,34.74,838000
444845,2018-07-19,WAVES,35.2,35.4,34.01,34.64,551500
445331,2018-07-20,WAVES,34.17,34.75,33.02,33.44,260000
445796,2018-07-23,WAVES,32.75,33.05,32.75,32.86,45000
446344,2018-07-24,WAVES,33.5,34.22,33.2,34.02,172000
446884,2018-07-26,WAVES,34.95,35.0,34.0,34.27,208000
447416,2018-07-27,WAVES,34.3,35.7,34.0,35.34,586000
447986,2018-07-30,WAVES,36.15,37.1,36.15,37.08,544500
448490,2018-07-31,WAVES,37.08,37.08,35.5,36.16,252000
448997,2018-08-01,WAVES,36.38,37.96,36.01,37.96,737000
449496,2018-08-02,WAVES,39.28,39.85,38.98,39.82,1127500
449996,2018-08-03,WAVES,40.5,41.81,40.26,41.81,793500
450486,2018-08-06,WAVES,42.7,43.9,42.27,43.9,749500
450983,2018-08-07,WAVES,45.0,46.09,44.0,45.62,1829000
451471,2018-08-08,WAVES,45.61,45.75,43.45,43.79,540500
451983,2018-08-09,WAVES,44.74,45.48,43.05,44.83,509000
452491,2018-08-10,WAVES,44.88,47.07,44.52,47.07,1183500
452987,2018-08-13,WAVES,48.0,48.39,46.65,47.29,822500
453468,2018-08-15,WAVES,47.07,49.4,47.07,48.96,684500
453960,2018-08-16,WAVES,48.99,49.0,47.0,48.03,681000
454457,2018-08-17,WAVES,46.5,49.0,46.5,47.58,1216000
454934,2018-08-20,WAVES,47.5,47.9,46.25,46.66,1313000
455403,2018-08-24,WAVES,46.75,46.75,44.5,44.7,789500
455895,2018-08-27,WAVES,43.7,45.8,43.7,44.91,286000
456448,2018-08-28,WAVES,45.1,45.1,44.1,44.24,101500
457009,2018-08-29,WAVES,44.0,44.6,43.55,43.74,229000
457555,2018-08-30,WAVES,44.0,45.92,41.56,42.75,1560500
458107,2018-08-31,WAVES,41.54,41.6,40.62,40.62,1743500
458644,2018-09-04,WAVES,40.95,41.9,40.6,40.93,1016000
459131,2018-09-05,WAVES,40.66,42.97,39.8,42.3,872500
459622,2018-09-06,WAVES,42.74,42.99,40.19,40.21,1088000
460118,2018-09-07,WAVES,40.0,40.7,39.0,39.76,237000
460601,2018-09-10,WAVES,39.76,39.76,38.0,38.57,256000
461085,2018-09-11,WAVES,38.7,39.75,38.65,39.39,196000
461561,2018-09-12,WAVES,39.89,39.89,37.7,38.61,282500
462054,2018-09-13,WAVES,38.74,39.9,38.0,39.46,260500
462538,2018-09-14,WAVES,40.0,40.0,39.0,39.25,196500
463016,2018-09-17,WAVES,38.72,39.4,38.1,38.87,72000
463509,2018-09-18,WAVES,39.9,39.9,38.25,39.36,153500
463979,2018-09-19,WAVES,39.65,41.32,39.2,41.32,818000
464469,2018-09-24,WAVES,41.51,42.15,39.26,39.44,484000
465011,2018-09-25,WAVES,39.7,40.0,39.1,39.51,80500
465550,2018-09-26,WAVES,40.0,40.5,39.3,39.66,196000
466094,2018-09-27,WAVES,39.3,39.65,38.5,38.63,122500
466638,2018-09-28,WAVES,39.49,39.49,38.25,38.9,91500
467183,2018-10-01,WAVES,37.61,38.88,37.6,38.06,81500
467653,2018-10-02,WAVES,38.0,39.29,37.75,38.89,234500
468137,2018-10-03,WAVES,34.0,34.7,32.55,32.69,135500
468616,2018-10-04,WAVES,32.3,32.5,31.06,31.09,305000
469095,2018-10-05,WAVES,29.75,30.2,29.54,29.54,175500
469603,2018-10-08,WAVES,28.35,28.8,28.07,28.07,416500
470117,2018-10-09,WAVES,27.9,28.7,26.67,26.67,738500
470619,2018-10-10,WAVES,25.62,26.25,25.34,25.35,510500
471101,2018-10-11,WAVES,25.01,26.25,24.35,24.9,343500
471589,2018-10-12,WAVES,24.51,24.51,23.66,23.66,311500
472079,2018-10-15,WAVES,23.01,23.25,22.48,22.51,229000
472578,2018-10-16,WAVES,22.75,23.6,21.51,21.91,150500
473084,2018-10-17,WAVES,22.39,23.0,22.39,23.0,68500
473581,2018-10-18,WAVES,24.15,24.15,24.15,24.15,64500
474095,2018-10-19,WAVES,25.35,25.35,25.35,25.35,150000
474608,2018-10-22,WAVES,26.61,26.61,26.06,26.61,540000
475160,2018-10-23,WAVES,26.79,27.94,26.3,27.94,1333500
475756,2018-10-24,WAVES,29.33,29.33,29.33,29.33,26000
476336,2018-10-25,WAVES,30.79,30.79,30.0,30.79,903500
476912,2018-10-26,WAVES,31.1,32.32,30.6,32.28,1147000
477508,2018-10-29,WAVES,33.2,33.2,30.67,30.73,1531500
478030,2018-10-30,WAVES,30.0,31.65,29.2,29.45,2255000
478551,2018-10-31,WAVES,29.01,30.92,29.01,30.92,864000
479063,2018-11-01,WAVES,32.0,32.46,31.25,32.04,2248000
479568,2018-11-05,WAVES,31.95,33.5,31.59,32.25,1118000
480051,2018-11-06,WAVES,32.75,32.85,30.8,31.23,1003500
480561,2018-11-07,WAVES,32.0,32.45,31.0,31.32,1269000
481054,2018-11-08,WAVES,31.2,31.88,30.0,30.44,777000
481557,2018-11-09,WAVES,30.69,31.2,29.65,30.0,520000
482053,2018-11-12,WAVES,30.21,30.21,29.25,29.36,165000
482556,2018-11-13,WAVES,29.06,30.1,28.75,29.88,388000
483060,2018-11-14,WAVES,30.25,31.37,29.8,30.75,757500
483578,2018-11-15,WAVES,30.51,32.28,30.51,32.07,1926000
484086,2018-11-16,WAVES,32.95,33.0,31.9,31.98,461500
484574,2018-11-19,WAVES,32.5,32.5,31.31,31.5,249500
485086,2018-11-20,WAVES,31.45,32.95,31.26,32.4,677500
485575,2018-11-22,WAVES,32.85,32.85,31.25,31.36,355000
486063,2018-11-23,WAVES,31.89,31.89,31.05,31.35,115000
486549,2018-11-26,WAVES,31.6,31.67,30.05,30.63,145000
487106,2018-11-27,WAVES,30.21,30.82,29.56,30.41,130000
487660,2018-11-28,WAVES,30.99,31.35,29.9,30.15,307500
488192,2018-11-29,WAVES,30.64,31.65,30.6,31.65,991000
488745,2018-11-30,WAVES,32.5,32.85,30.07,30.12,1585500
489305,2018-12-03,WAVES,29.95,29.95,28.62,28.62,280000
489796,2018-12-04,WAVES,27.5,28.95,27.5,28.49,1313500
490298,2018-12-05,WAVES,28.3,28.3,27.07,27.88,505500
490786,2018-12-06,WAVES,28.34,28.68,26.51,26.91,498000
491281,2018-12-07,WAVES,27.0,27.65,26.18,26.96,322500
491771,2018-12-10,WAVES,27.4,28.2,27.25,27.49,319000
492252,2018-12-11,WAVES,27.74,27.74,27.0,27.46,161000
492738,2018-12-12,WAVES,27.0,28.0,26.2,26.82,346500
493219,2018-12-13,WAVES,27.05,27.09,25.75,25.99,271000
493696,2018-12-14,WAVES,26.7,27.1,26.21,26.93,151000
494147,2018-12-17,WAVES,27.19,27.2,26.2,26.6,34500
494602,2018-12-18,WAVES,26.75,27.0,26.0,26.34,213500
495083,2018-12-19,WAVES,26.2,26.9,26.2,26.42,191000
495558,2018-12-20,WAVES,26.31,27.74,26.31,27.74,654500
496033,2018-12-21,WAVES,28.0,28.0,26.75,26.94,521000
496493,2018-12-24,WAVES,26.55,27.0,26.0,26.67,931000
497022,2018-12-26,WAVES,27.2,27.45,26.7,26.79,943500
497561,2018-12-27,WAVES,26.99,27.0,25.6,25.86,175000
498100,2018-12-28,WAVES,25.76,25.76,24.59,24.79,184000
498640,2018-12-31,WAVES,24.2,25.1,24.0,24.5,111000
499112,2019-01-01,WAVES,24.99,25.72,24.95,25.66,189500
499587,2019-01-02,WAVES,25.23,26.4,25.23,25.5,164500
500051,2019-01-03,WAVES,25.35,25.7,25.0,25.13,75500
500500,2019-01-04,WAVES,24.85,25.95,24.5,25.51,125000
500972,2019-01-07,WAVES,25.9,26.78,25.6,26.73,436000
501467,2019-01-08,WAVES,26.99,27.95,26.99,27.45,567000
501946,2019-01-09,WAVES,27.7,28.45,27.21,27.54,880000
502423,2019-01-10,WAVES,27.75,27.81,27.0,27.04,259000
502903,2019-01-11,WAVES,27.4,27.99,26.71,27.2,169000
503399,2019-01-14,WAVES,27.55,28.0,27.04,27.3,287500
503878,2019-01-15,WAVES,27.6,27.6,27.0,27.02,118000
504350,2019-01-16,WAVES,27.34,27.34,26.4,26.54,63500
504819,2019-01-17,WAVES,26.6,27.0,26.0,26.91,133000
505291,2019-01-18,WAVES,26.99,27.35,26.72,26.76,167000
505765,2019-01-21,WAVES,26.77,27.0,26.4,26.43,65500
506300,2019-01-22,WAVES,26.45,27.0,26.4,26.86,104500
506854,2019-01-23,WAVES,27.0,27.3,26.6,26.67,242500
507398,2019-01-24,WAVES,28.0,28.0,27.05,27.23,2052000
507922,2019-01-25,WAVES,27.16,27.48,26.5,27.0,106500
508437,2019-01-28,WAVES,26.95,27.54,26.95,27.13,173500
508909,2019-01-29,WAVES,26.85,27.5,26.76,26.96,187000
509396,2019-01-30,WAVES,27.0,27.65,27.0,27.11,208500
509892,2019-01-31,WAVES,27.15,28.24,27.01,27.69,913000
510384,2019-02-01,WAVES,27.97,28.4,27.49,27.82,641000
510881,2019-02-04,WAVES,27.99,28.18,27.72,27.75,253500
511383,2019-02-06,WAVES,27.51,27.98,27.06,27.26,189500
511874,2019-02-07,WAVES,27.5,28.62,27.5,28.62,644000
512344,2019-02-08,WAVES,28.84,29.01,27.63,27.83,788000
512818,2019-02-11,WAVES,27.81,27.9,26.92,27.01,246500
513281,2019-02-12,WAVES,27.05,27.45,26.5,26.93,224500
513762,2019-02-13,WAVES,27.28,27.9,26.75,27.05,313500
514226,2019-02-14,WAVES,27.06,27.2,26.7,27.03,57000
514676,2019-02-15,WAVES,27.0,27.9,27.0,27.54,468000
515132,2019-02-18,WAVES,28.0,28.0,27.0,27.16,161500
515644,2019-02-19,WAVES,27.1,27.28,26.7,26.75,63000
516166,2019-02-20,WAVES,26.75,27.4,26.2,27.0,226000
516686,2019-02-21,WAVES,27.25,27.25,26.55,26.65,43500
517191,2019-02-22,WAVES,26.5,27.7,26.5,27.2,433000
517725,2019-02-25,WAVES,27.25,27.49,26.81,26.84,58500
518219,2019-02-26,WAVES,26.15,26.38,25.5,25.5,311000
518719,2019-02-27,WAVES,25.0,25.1,24.23,24.71,403000
519221,2019-02-28,WAVES,25.0,25.65,24.35,25.51,183000
519714,2019-03-01,WAVES,25.9,26.0,25.5,25.74,97000
520194,2019-03-04,WAVES,25.52,25.99,25.4,25.62,79000
520688,2019-03-05,WAVES,25.9,26.25,25.3,25.62,97500
521186,2019-03-06,WAVES,25.95,26.0,25.6,25.62,90000
521676,2019-03-07,WAVES,25.99,26.0,25.45,25.48,62500
522159,2019-03-08,WAVES,25.15,25.25,25.0,25.04,29000
522643,2019-03-11,WAVES,25.5,25.5,25.12,25.19,28000
523119,2019-03-12,WAVES,25.15,25.45,24.85,25.36,43000
523593,2019-03-13,WAVES,25.59,25.59,25.11,25.25,15000
524062,2019-03-14,WAVES,25.03,25.6,24.95,25.39,85000
524540,2019-03-15,WAVES,25.0,25.5,24.6,25.16,314500
525004,2019-03-18,WAVES,25.03,26.41,25.03,26.41,254000
525473,2019-03-19,WAVES,26.49,27.73,26.49,27.73,825500
525946,2019-03-20,WAVES,27.9,28.51,27.35,28.31,1270000
526428,2019-03-21,WAVES,28.34,28.34,27.5,27.55,107500
