,Date,Symbol,Open,High,Low,Close,Volume
293,2015-01-01,WAHN,62.5,62.5,62.0,62.0,11500
1339,2015-01-05,WAHN,62.0,62.0,60.0,60.48,25500
1844,2015-01-06,WAHN,61.2,61.25,60.99,61.0,7500
2366,2015-01-07,WAHN,60.01,60.75,60.01,60.5,5000
2879,2015-01-08,WAHN,61.87,62.0,61.87,62.0,4000
3391,2015-01-09,WAHN,61.99,63.5,61.99,62.37,10500
3917,2015-01-12,WAHN,61.7,62.47,61.1,62.0,22000
4455,2015-01-13,WAHN,63.0,63.0,62.0,62.12,4000
5000,2015-01-14,WAHN,63.5,65.22,63.2,65.22,23500
5549,2015-01-15,WAHN,66.99,68.48,66.0,67.01,22000
6084,2015-01-16,WAHN,65.0,68.0,65.0,68.0,5000
6618,2015-01-19,WAHN,68.45,68.45,68.45,68.45,1000
7155,2015-01-20,WAHN,67.0,69.0,66.1,66.1,2000
7693,2015-01-21,WAHN,66.49,67.0,65.55,66.01,22500
8213,2015-01-22,WAHN,65.61,65.61,65.6,65.6,1000
9246,2015-01-26,WAHN,66.98,68.88,66.98,68.29,60500
9801,2015-01-27,WAHN,71.0,71.0,68.5,70.09,59000
10905,2015-01-29,WAHN,68.99,69.0,68.99,69.0,3000
11443,2015-01-30,WAHN,70.0,70.75,70.0,70.75,3000
13038,2015-02-04,WAHN,67.22,67.22,67.22,67.22,8500
13538,2015-02-06,WAHN,64.52,64.61,64.51,64.61,1500
14048,2015-02-09,WAHN,65.0,65.99,65.0,65.99,5000
14548,2015-02-10,WAHN,65.0,65.0,64.0,64.0,7500
15058,2015-02-11,WAHN,64.25,64.25,63.1,63.1,6000
15572,2015-02-12,WAHN,62.0,62.0,62.0,62.0,500
16069,2015-02-13,WAHN,61.0,62.0,61.0,61.06,20000
16564,2015-02-16,WAHN,61.0,61.0,61.0,61.0,5500
17063,2015-02-17,WAHN,61.0,61.45,61.0,61.45,5500
17559,2015-02-18,WAHN,61.0,61.0,60.5,60.5,10000
18555,2015-02-20,WAHN,60.25,63.0,60.25,63.0,4500
19045,2015-02-23,WAHN,61.0,63.0,61.0,61.0,3000
19593,2015-02-24,WAHN,60.71,60.71,60.51,60.51,3000
20128,2015-02-25,WAHN,60.25,60.25,60.15,60.15,1500
20680,2015-02-26,WAHN,61.99,62.0,58.55,60.17,11500
21210,2015-02-27,WAHN,60.0,60.0,57.18,57.37,9500
21747,2015-03-02,WAHN,55.9,55.9,54.51,54.64,9500
23245,2015-03-05,WAHN,53.1,55.5,53.1,54.75,1500
23716,2015-03-06,WAHN,57.48,57.48,56.0,56.99,3000
24187,2015-03-09,WAHN,55.16,55.16,55.16,55.16,500
24674,2015-03-10,WAHN,55.01,55.01,55.0,55.0,1500
25650,2015-03-12,WAHN,52.5,55.9,52.3,54.2,5500
26129,2015-03-13,WAHN,55.9,55.9,55.9,55.9,4000
27084,2015-03-17,WAHN,54.0,54.0,54.0,54.0,3500
27589,2015-03-18,WAHN,53.0,53.0,53.0,53.0,1000
