,Date,Symbol,Open,High,Low,Close,Volume
796,2015-01-02,WYETH,4010.0,4010.0,4010.0,4010.0,20
2341,2015-01-07,WYETH,0.0,3851.0,3851.0,4010.0,80
8696,2015-01-23,WYETH,0.0,3810.0,3810.0,4010.0,40
11418,2015-01-30,WYETH,3811.0,3811.0,3811.0,3811.0,20
16543,2015-02-16,WYETH,3800.0,3800.0,3621.0,3621.0,40
20105,2015-02-25,WYETH,0.0,3618.65,3618.65,3618.65,0
20657,2015-02-26,WYETH,3437.72,3437.72,3437.72,3437.72,20
21186,2015-02-27,WYETH,0.0,3265.84,3265.84,3265.84,0
21721,2015-03-02,WYETH,0.0,3143.355,3143.355,3143.355,0
22728,2015-03-04,WYETH,2986.19,2986.19,2986.19,2986.19,80
23692,2015-03-06,WYETH,2837.0,2837.0,2837.0,2837.0,40
24653,2015-03-10,WYETH,2695.2,2695.2,2695.2,2695.2,20
25624,2015-03-12,WYETH,2780.0,2780.0,2700.1,2700.1,140
28054,2015-03-19,WYETH,2685.0,2685.0,2675.0,2675.0,40
31097,2015-03-30,WYETH,2541.25,2541.25,2541.25,2541.25,20
31604,2015-03-31,WYETH,2415.1,2415.1,2414.28,2414.28,80
32108,2015-04-01,WYETH,2405.0,2405.0,2315.0,2315.0,200
33121,2015-04-03,WYETH,2300.0,2300.0,2300.0,2300.0,20
33624,2015-04-06,WYETH,2415.0,2415.0,2415.0,2415.0,40
36591,2015-04-14,WYETH,2400.0,2400.0,2400.0,2400.0,20
48142,2015-05-18,WYETH,2280.0,2280.0,2280.0,2280.0,20
52689,2015-06-02,WYETH,0.0,2393.0,2393.0,2280.0,20
53204,2015-06-03,WYETH,0.0,2393.0,2393.0,2280.0,20
54243,2015-06-05,WYETH,0.0,2280.0,2280.0,2280.0,200
58474,2015-06-18,WYETH,2300.0,2300.0,2300.0,2300.0,20
64708,2015-07-06,WYETH,2414.0,2414.0,2414.0,2414.0,20
66242,2015-07-09,WYETH,0.0,2300.0,2300.0,2414.0,20
70379,2015-07-24,WYETH,2534.7,2534.7,2534.0,2534.0,40
70911,2015-07-27,WYETH,2660.0,2660.0,2500.0,2500.0,100
74653,2015-08-05,WYETH,2400.0,2400.0,2400.0,2400.0,20
76203,2015-08-10,WYETH,2400.0,2400.0,2400.0,2400.0,60
76726,2015-08-11,WYETH,2350.0,2350.0,2350.0,2350.0,20
77243,2015-08-12,WYETH,2467.5,2467.5,2312.0,2400.0,60
78785,2015-08-18,WYETH,2401.11,2401.11,2400.0,2400.0,120
79820,2015-08-20,WYETH,2280.0,2295.0,2280.0,2295.0,40
93300,2015-10-12,WYETH,2200.0,2200.0,2200.0,2200.0,20
93807,2015-10-13,WYETH,0.0,2200.005,2200.005,2200.005,0
100490,2015-11-02,WYETH,2150.0,2300.0,2150.0,2300.0,40
101484,2015-11-04,WYETH,2275.0,2400.0,2275.0,2400.0,40
105459,2015-11-16,WYETH,2500.0,2500.0,2500.0,2500.0,20
106504,2015-11-18,WYETH,2500.0,2625.0,2400.0,2400.0,280
107000,2015-11-19,WYETH,2320.0,2320.0,2320.0,2320.0,20
120326,2016-01-01,WYETH,2210.0,2210.0,2210.0,2210.0,60
126843,2016-01-25,WYETH,0.0,2200.0,2200.0,2210.0,200
130707,2016-02-04,WYETH,2100.0,2100.0,2100.0,2100.0,40
133015,2016-02-12,WYETH,2000.0,2000.0,2000.0,2000.0,20
133946,2016-02-16,WYETH,1900.0,1900.0,1900.0,1900.0,40
137255,2016-02-25,WYETH,0.0,1897.5,1897.5,1897.5,0
140145,2016-03-07,WYETH,1750.0,1750.0,1750.0,1750.0,20
140635,2016-03-08,WYETH,1663.0,1670.0,1663.0,1670.0,100
144901,2016-04-01,WYETH,1660.0,1660.0,1635.0,1635.0,40
145399,2016-04-04,WYETH,0.0,1650.0,1650.0,1650.0,0
146430,2016-04-06,WYETH,1567.7,1567.7,1567.5,1567.6,40
147437,2016-04-08,WYETH,1600.0,1645.98,1600.0,1645.98,120
147947,2016-04-11,WYETH,1728.26,1728.26,1728.26,1728.26,20
150908,2016-04-20,WYETH,1870.0,1870.0,1870.0,1870.0,20
151429,2016-04-21,WYETH,1777.5,1945.0,1777.5,1900.0,160
157760,2016-05-10,WYETH,1950.0,1950.0,1950.0,1950.0,20
158283,2016-05-12,WYETH,2040.0,2040.0,2040.0,2040.0,20
159326,2016-05-16,WYETH,1940.0,1940.0,1940.0,1940.0,20
159851,2016-05-18,WYETH,2035.0,2035.0,2035.0,2035.0,20
160386,2016-05-19,WYETH,2136.75,2136.75,2136.75,2136.75,20
163696,2016-06-02,WYETH,2100.0,2100.0,2100.0,2100.0,20
164763,2016-06-06,WYETH,2100.0,2100.0,2100.0,2100.0,20
170136,2016-06-20,WYETH,1995.0,1995.0,1995.0,1995.0,160
171176,2016-06-22,WYETH,0.0,1943.75,1943.75,1943.75,0
172722,2016-06-27,WYETH,0.0,1850.0,1850.0,1943.75,20
173706,2016-06-29,WYETH,0.0,1937.5,1937.5,1937.5,0
174193,2016-06-30,WYETH,0.0,1920.8317,1920.8317,1920.8317,0
177632,2016-07-18,WYETH,1950.0,1975.0,1825.0,1962.38,140
182853,2016-08-01,WYETH,0.0,1962.0,1962.0,1962.0,0
183879,2016-08-03,WYETH,1950.0,1950.0,1950.0,1950.0,20
188562,2016-08-17,WYETH,1852.5,2047.0,1852.5,2047.0,40
189086,2016-08-18,WYETH,2000.0,2000.0,1945.0,2000.0,80
190093,2016-08-22,WYETH,0.0,1985.0,0.0,1985.0,0
192361,2016-08-29,WYETH,2000.0,2000.0,1900.0,1900.0,60
195095,2016-09-07,WYETH,1995.0,1995.0,1995.0,1995.0,20
195657,2016-09-08,WYETH,0.0,1985.0,1985.0,1995.0,100
200741,2016-09-28,WYETH,2000.0,2094.75,2000.0,2094.75,10260
201353,2016-09-29,WYETH,2199.48,2199.48,2199.48,2199.48,9980
201948,2016-09-30,WYETH,2309.45,2309.45,2250.0,2300.0,13700
202565,2016-10-03,WYETH,2395.0,2415.0,2395.0,2415.0,4260
203131,2016-10-04,WYETH,2535.0,2535.75,2530.0,2535.75,500
