,Date,Symbol,Open,High,Low,Close,Volume
115,2015-01-01,YOUW,4.8,4.8,4.7,4.7,3000
622,2015-01-02,YOUW,4.5,4.9,4.5,4.9,34000
1146,2015-01-05,YOUW,4.25,4.83,4.12,4.83,14000
1649,2015-01-06,YOUW,4.9,4.9,4.3,4.4,3500
2167,2015-01-07,YOUW,4.5,4.8,4.5,4.56,8000
2674,2015-01-08,YOUW,4.55,4.74,4.15,4.55,24000
3195,2015-01-09,YOUW,4.77,4.77,4.47,4.75,4500
3714,2015-01-12,YOUW,4.6,4.8,4.6,4.8,15500
4249,2015-01-13,YOUW,4.8,5.1,4.8,4.81,75500
4795,2015-01-14,YOUW,4.8,4.8,4.8,4.8,6000
5340,2015-01-15,YOUW,4.89,4.9,4.8,4.88,9000
5887,2015-01-16,YOUW,4.7,4.88,4.7,4.85,5500
6412,2015-01-19,YOUW,4.85,4.85,4.7,4.8,9500
7488,2015-01-21,YOUW,4.79,4.79,4.79,4.79,1000
8013,2015-01-22,YOUW,4.8,4.8,4.7,4.7,3500
8529,2015-01-23,YOUW,4.55,4.55,4.55,4.55,1500
9602,2015-01-27,YOUW,4.65,4.75,4.65,4.75,7500
10156,2015-01-28,YOUW,4.5,4.79,4.5,4.65,22000
10710,2015-01-29,YOUW,4.7,4.7,4.7,4.7,1000
11249,2015-01-30,YOUW,4.5,4.5,4.5,4.5,2000
11796,2015-02-02,YOUW,4.75,4.8,4.46,4.69,5000
12315,2015-02-03,YOUW,4.35,4.69,4.35,4.69,4500
12835,2015-02-04,YOUW,4.75,4.75,4.5,4.69,6000
13343,2015-02-06,YOUW,4.41,4.7,4.4,4.66,8500
14351,2015-02-10,YOUW,4.65,4.8,4.62,4.75,4500
14857,2015-02-11,YOUW,4.8,4.9,4.5,4.5,5000
15370,2015-02-12,YOUW,4.4,4.65,4.4,4.65,1000
15874,2015-02-13,YOUW,4.65,4.65,4.65,4.65,500
16371,2015-02-16,YOUW,4.4,4.45,4.4,4.45,1500
16869,2015-02-17,YOUW,4.35,4.6,4.35,4.6,1000
17369,2015-02-18,YOUW,4.3,4.75,4.21,4.56,7500
17872,2015-02-19,YOUW,4.46,4.7,4.45,4.7,3500
18372,2015-02-20,YOUW,4.4,4.4,3.75,4.35,94000
18858,2015-02-23,YOUW,4.3,4.35,4.05,4.26,16000
19397,2015-02-24,YOUW,4.24,4.24,4.04,4.09,13000
20486,2015-02-26,YOUW,4.15,4.15,4.0,4.0,17500
21023,2015-02-27,YOUW,3.98,3.98,3.7,3.89,3500
21555,2015-03-02,YOUW,3.89,3.89,3.79,3.79,3000
22058,2015-03-03,YOUW,3.5,3.6,3.5,3.6,1500
22563,2015-03-04,YOUW,3.75,3.75,3.7,3.7,16500
23060,2015-03-05,YOUW,3.69,3.99,3.5,3.55,6000
23535,2015-03-06,YOUW,3.5,3.5,3.4,3.41,4000
24009,2015-03-09,YOUW,3.55,3.55,3.33,3.36,35500
24494,2015-03-10,YOUW,3.36,3.6,3.35,3.6,10500
24976,2015-03-11,YOUW,3.1,3.1,3.06,3.08,1000
25460,2015-03-12,YOUW,3.54,3.54,3.54,3.54,500
25950,2015-03-13,YOUW,3.7,3.7,3.7,3.7,500
26433,2015-03-16,YOUW,3.63,3.65,3.63,3.65,5500
26907,2015-03-17,YOUW,3.74,3.74,3.74,3.74,500
27401,2015-03-18,YOUW,3.5,3.5,3.45,3.45,1000
48462,2015-05-20,YOUW,3.15,3.3,3.15,3.22,28000
48933,2015-05-21,YOUW,3.22,3.22,3.22,3.22,500
49406,2015-05-22,YOUW,3.22,3.22,3.21,3.21,7000
49872,2015-05-25,YOUW,3.3,3.7,3.3,3.54,14000
50390,2015-05-27,YOUW,3.68,3.7,3.6,3.61,2500
50921,2015-05-28,YOUW,3.55,3.71,3.5,3.6,11500
51991,2015-06-01,YOUW,3.8,3.84,3.63,3.75,25500
52514,2015-06-02,YOUW,3.6,3.6,3.6,3.6,16500
53031,2015-06-03,YOUW,3.5,3.5,3.5,3.5,40000
53553,2015-06-04,YOUW,3.6,3.7,3.55,3.7,5000
