,Date,Symbol,Open,High,Low,Close,Volume
67589,2015-07-14,ZAHID,14.45,14.49,14.45,14.49,2000
68109,2015-07-15,ZAHID,14.45,14.8,14.45,14.63,5500
68633,2015-07-16,ZAHID,14.41,14.41,14.41,14.41,1000
69162,2015-07-22,ZAHID,14.4,15.0,14.4,15.0,7000
69697,2015-07-23,ZAHID,14.75,15.1,14.75,14.91,11000
70230,2015-07-24,ZAHID,14.9,15.2,14.9,15.2,20000
70755,2015-07-27,ZAHID,14.51,14.74,14.2,14.62,12000
71871,2015-07-29,ZAHID,14.9,14.9,14.9,14.9,2000
72423,2015-07-30,ZAHID,14.25,14.26,14.25,14.26,1000
72968,2015-07-31,ZAHID,14.26,14.5,14.15,14.5,7500
73494,2015-08-03,ZAHID,14.5,14.5,14.5,14.5,23500
73983,2015-08-04,ZAHID,14.5,14.5,14.42,14.5,5000
74495,2015-08-05,ZAHID,14.4,14.75,14.4,14.41,7500
75017,2015-08-06,ZAHID,14.8,15.41,14.8,15.41,96000
75543,2015-08-07,ZAHID,15.65,15.67,15.45,15.49,8500
76052,2015-08-10,ZAHID,15.0,15.68,15.0,15.68,7500
76572,2015-08-11,ZAHID,15.25,15.49,15.25,15.25,7500
77088,2015-08-12,ZAHID,15.1,15.74,14.85,14.85,26500
77612,2015-08-13,ZAHID,14.85,15.55,14.85,15.25,5000
78125,2015-08-17,ZAHID,15.01,15.1,15.0,15.1,4000
78631,2015-08-18,ZAHID,14.82,14.82,14.82,14.82,500
79147,2015-08-19,ZAHID,15.25,15.25,15.0,15.0,6000
79668,2015-08-20,ZAHID,15.25,15.25,15.25,15.25,2500
80172,2015-08-21,ZAHID,14.7,14.95,14.7,14.9,6000
80683,2015-08-24,ZAHID,14.5,14.5,13.9,13.9,6500
81765,2015-08-26,ZAHID,14.45,14.5,14.0,14.32,16000
82305,2015-08-27,ZAHID,14.0,14.05,14.0,14.05,7500
82855,2015-08-28,ZAHID,14.5,14.5,14.5,14.5,10500
83414,2015-08-31,ZAHID,14.89,14.95,14.85,14.95,9000
84429,2015-09-14,ZAHID,15.1,15.1,14.61,14.61,10000
84904,2015-09-15,ZAHID,14.3,14.5,14.3,14.31,11500
85384,2015-09-16,ZAHID,14.89,14.89,14.89,14.89,1000
85874,2015-09-17,ZAHID,15.0,15.0,14.75,14.75,12000
86349,2015-09-18,ZAHID,15.0,15.0,14.7,14.7,4500
86809,2015-09-21,ZAHID,14.75,14.75,14.75,14.75,500
87312,2015-09-22,ZAHID,15.0,15.25,14.95,15.01,10000
87805,2015-09-23,ZAHID,14.61,14.75,14.01,14.6,13000
89714,2015-10-01,ZAHID,14.5,15.0,14.5,14.87,7500
90191,2015-10-02,ZAHID,14.8,14.8,14.8,14.8,1000
90670,2015-10-05,ZAHID,15.0,15.5,15.0,15.03,14500
91173,2015-10-06,ZAHID,15.1,15.79,15.0,15.53,52000
91656,2015-10-07,ZAHID,15.6,15.7,15.31,15.58,33000
92140,2015-10-08,ZAHID,15.6,15.65,15.5,15.65,12000
92646,2015-10-09,ZAHID,15.5,15.7,15.5,15.65,16000
93148,2015-10-12,ZAHID,15.8,16.65,15.8,16.65,16500
93654,2015-10-13,ZAHID,17.65,17.65,17.65,17.65,13500
94167,2015-10-14,ZAHID,18.65,18.65,16.65,17.96,299000
94666,2015-10-15,ZAHID,17.98,18.0,17.25,17.61,47500
95165,2015-10-16,ZAHID,17.94,18.61,17.6,18.46,142500
95666,2015-10-19,ZAHID,19.24,19.24,18.6,18.97,101000
96169,2015-10-20,ZAHID,19.0,19.64,18.85,19.4,57000
96672,2015-10-21,ZAHID,19.05,19.25,18.55,18.68,52500
97169,2015-10-22,ZAHID,15.35,15.35,14.25,14.63,7500
97665,2015-10-26,ZAHID,14.33,14.33,14.16,14.17,5000
98194,2015-10-27,ZAHID,13.9,13.9,13.9,13.9,2000
98720,2015-10-28,ZAHID,14.19,14.19,13.6,13.73,15500
99813,2015-10-30,ZAHID,13.5,13.5,13.1,13.33,7000
100345,2015-11-02,ZAHID,13.5,13.6,13.07,13.6,17500
100837,2015-11-03,ZAHID,13.6,13.6,12.65,13.05,9000
101340,2015-11-04,ZAHID,13.5,13.5,13.0,13.08,10000
101852,2015-11-05,ZAHID,12.82,13.0,12.8,12.8,13000
102357,2015-11-06,ZAHID,12.85,12.85,12.4,12.44,40000
102844,2015-11-09,ZAHID,12.15,12.15,12.15,12.15,500
103331,2015-11-10,ZAHID,12.72,12.73,12.0,12.06,19000
103821,2015-11-11,ZAHID,12.5,12.5,12.21,12.21,4000
104325,2015-11-12,ZAHID,12.15,12.7,12.15,12.4,9500
104837,2015-11-13,ZAHID,12.4,12.5,12.4,12.4,10500
105320,2015-11-16,ZAHID,12.5,12.5,12.36,12.36,4500
105828,2015-11-17,ZAHID,12.4,12.4,12.15,12.15,2000
106356,2015-11-18,ZAHID,12.75,13.0,12.25,12.25,14000
106863,2015-11-19,ZAHID,12.1,12.5,12.06,12.49,8500
107353,2015-11-20,ZAHID,12.15,12.5,12.15,12.23,2500
107860,2015-11-23,ZAHID,12.15,12.2,12.15,12.18,10500
108406,2015-11-24,ZAHID,12.05,12.05,12.0,12.0,3500
108950,2015-11-25,ZAHID,11.95,11.95,11.75,11.75,4000
110014,2015-11-27,ZAHID,11.8,11.8,11.78,11.78,1500
110543,2015-11-30,ZAHID,11.75,11.75,11.5,11.5,6500
111034,2015-12-01,ZAHID,11.25,11.25,10.51,10.57,14500
111524,2015-12-02,ZAHID,10.41,11.2,10.41,10.96,10000
112014,2015-12-03,ZAHID,11.0,11.0,10.73,11.0,2000
112488,2015-12-04,ZAHID,10.65,10.94,10.6,10.9,6500
112981,2015-12-07,ZAHID,10.99,11.05,10.99,11.0,3000
113467,2015-12-08,ZAHID,11.0,11.0,11.0,11.0,500
113966,2015-12-09,ZAHID,11.0,11.0,11.0,11.0,2000
114452,2015-12-10,ZAHID,11.0,11.0,11.0,11.0,1000
114925,2015-12-14,ZAHID,10.55,10.6,10.5,10.5,2500
115875,2015-12-16,ZAHID,10.5,10.5,10.5,10.5,1000
116354,2015-12-17,ZAHID,10.9,11.0,10.9,11.0,5000
116820,2015-12-18,ZAHID,10.45,10.45,10.31,10.31,1000
117292,2015-12-22,ZAHID,10.2,10.35,10.2,10.35,4500
117802,2015-12-23,ZAHID,10.5,11.0,10.5,10.88,1500
