,Date,Symbol,Open,High,Low,Close,Volume
116,2015-01-01,ZTL,8.1,8.4,8.1,8.4,6500
623,2015-01-02,ZTL,8.65,9.4,8.65,9.39,67000
1147,2015-01-05,ZTL,9.17,9.17,9.16,9.16,1000
1650,2015-01-06,ZTL,9.2,9.2,8.7,8.8,21500
2168,2015-01-07,ZTL,8.65,9.8,8.65,9.8,112500
2675,2015-01-08,ZTL,9.99,9.99,9.4,9.4,41500
3196,2015-01-09,ZTL,9.55,10.0,9.46,9.5,81500
3715,2015-01-12,ZTL,9.41,9.69,9.01,9.14,13000
4250,2015-01-13,ZTL,9.15,9.15,9.0,9.0,33500
4796,2015-01-14,ZTL,9.29,9.4,9.29,9.4,5000
5341,2015-01-15,ZTL,9.5,9.5,9.5,9.5,13500
6413,2015-01-19,ZTL,9.5,9.5,9.3,9.3,6500
8014,2015-01-22,ZTL,9.2,9.2,9.2,9.2,500
8530,2015-01-23,ZTL,9.2,9.2,9.0,9.0,4500
9042,2015-01-26,ZTL,9.2,9.2,9.2,9.2,5500
9603,2015-01-27,ZTL,9.15,9.2,9.15,9.2,13500
10157,2015-01-28,ZTL,8.8,8.8,8.8,8.8,3000
10711,2015-01-29,ZTL,8.8,8.82,8.79,8.79,22500
11250,2015-01-30,ZTL,8.8,9.0,8.76,8.76,21000
11797,2015-02-02,ZTL,9.1,9.1,9.0,9.02,6500
12316,2015-02-03,ZTL,8.9,9.0,8.6,8.6,16000
12836,2015-02-04,ZTL,8.65,8.75,8.4,8.4,32000
13344,2015-02-06,ZTL,8.4,9.4,8.4,9.2,58500
13850,2015-02-09,ZTL,9.4,10.2,9.4,9.73,63000
14352,2015-02-10,ZTL,9.9,10.24,9.9,10.24,2500
14858,2015-02-11,ZTL,9.46,9.8,9.43,9.43,5500
15371,2015-02-12,ZTL,10.24,10.24,9.24,9.41,33000
15875,2015-02-13,ZTL,8.7,9.54,8.7,9.52,3000
18859,2015-02-23,ZTL,8.76,9.35,8.75,9.3,9000
19398,2015-02-24,ZTL,8.7,8.7,8.7,8.7,1000
19941,2015-02-25,ZTL,8.75,8.75,8.75,8.75,1500
20487,2015-02-26,ZTL,9.0,9.0,9.0,9.0,500
21556,2015-03-02,ZTL,8.6,8.98,8.51,8.98,3000
22564,2015-03-04,ZTL,9.0,9.95,9.0,9.95,2500
23061,2015-03-05,ZTL,9.5,9.5,8.95,9.08,79500
24010,2015-03-09,ZTL,9.2,9.99,8.22,9.0,67500
27896,2015-03-19,ZTL,8.2,8.4,8.0,8.05,26000
28374,2015-03-20,ZTL,8.5,8.6,8.5,8.5,2000
29348,2015-03-25,ZTL,8.1,8.1,8.1,8.1,500
29858,2015-03-26,ZTL,8.02,8.3,8.0,8.0,5500
30383,2015-03-27,ZTL,8.29,8.3,8.29,8.3,3500
30923,2015-03-30,ZTL,7.75,7.75,7.3,7.3,5500
31441,2015-03-31,ZTL,7.7,7.99,7.7,7.99,1000
31948,2015-04-01,ZTL,7.55,7.55,7.55,7.55,1000
32450,2015-04-02,ZTL,7.51,7.55,7.3,7.52,22000
32962,2015-04-03,ZTL,7.15,7.85,7.15,7.85,11000
